Player,Team,Salary,Total Salary Owed
Stephen Curry,GSW,43006362,88787328
Russell Westbrook,WAS,41358814,85569960
Chris Paul,PHX,41358814,41358814
John Wall,HOU,41254920,85565760
James Harden,BKN,40824000,84672000
LeBron James,LAL,39219565,124875097
Kevin Durant,BKN,39058950,79977850
Blake Griffin,DET,36595996,36595996
Paul George,LAC,35450412,162928115
Klay Thompson,GSW,35361360,157161600
Mike Conley,UTA,34504132,34504132
Jimmy Butler,MIA,34379100,70395300
Kemba Walker,BOS,34379100,70395300
Kawhi Leonard,LAC,34379100,34379100
Tobias Harris,PHI,33517241,148965517
Kyrie Irving,BKN,33329100,104748600
Khris Middleton,MIL,33051724,106500000
Anthony Davis,LAL,32742000,146684160
Damian Lillard,POR,31626953,227626953
Kevin Love,CLE,31300000,91500000
Kyle Lowry,TOR,30000000,30000000
Joel Embiid,PHI,29542010,94738170
Andrew Wiggins,GSW,29542010,94738170
Kristaps Porzingis,DAL,29467800,94951800
Devin Booker,PHX,29430000,130800000
Karl-Anthony Towns,MIN,29430000,128620000
CJ McCollum,POR,29354152,129354152
Ben Simmons,PHI,29250000,169650000
Jamal Murray,DEN,29250000,169650000
Pascal Siakam,TOR,29000000,129920000
Bradley Beal,WAS,28751775,63253905
Andre Drummond,CLE,28751775,28751775
D'Angelo Russell,MIN,28649250,90040500
Nikola Jokic,DEN,28542009,91531269
Gordon Hayward,CHA,28500000,120000000
Otto Porter Jr.,CHI,28489239,28489239
DeMar DeRozan,SAS,27739975,27739975
Giannis Antetokounmpo,MIL,27528090,203793556
Steven Adams,NOP,27528090,62528090
Al Horford,OKC,27500000,69000000
Rudy Gobert,UTA,26525281,184870109
Jrue Holiday,MIL,26131111,26131111
Nikola Vucevic,ORL,26000000,72000000
Buddy Hield,SAC,24431818,86000000
LaMarcus Aldridge,SAS,24000000,24000000
Jaylen Brown,BOS,22991071,103000000
Draymond Green,GSW,22246956,72080137
Harrison Barnes,SAC,22215909,60852273
Fred VanVleet,TOR,21250000,62175926
Victor Oladipo,HOU,21000000,21000000
Malcolm Brogdon,IND,20700000,65000000
Danilo Gallinari,ATL,19500000,44975000
Zach LaVine,CHI,19500000,39000000
Gary Harris,DEN,19160714,39642857
Jerami Grant,DET,19047619,60000000
Tim Hardaway Jr.,DAL,18975000,18975000
Terry Rozier,CHA,18900000,36805263
Julius Randle,NYK,18900000,22900000
Aaron Gordon,ORL,18136364,34545455
Myles Turner,IND,18000000,54000000
Bogdan Bogdanovic,ATL,18000000,54000000
Goran Dragic,MIA,18000000,18000000
Bojan Bogdanovic,UTA,17850000,56100000
Gorgui Dieng,MEM,17287640,17287640
Domantas Sabonis,IND,17187500,77000000
Ricky Rubio,MIN,17000000,34809524
Evan Fournier,ORL,17000000,17000000
Eric Bledsoe,NOP,16875000,38900000
Eric Gordon,HOU,16869276,54656454
Caris LeVert,IND,16203704,52500000
Joe Harris,BKN,16071429,72000000
James Johnson,DAL,16047100,16047100
Clint Capela,ATL,16000000,51310345
Dennis Schroder,LAL,15500000,15500000
Cody Zeller,CHA,15415730,15415730
Danny Green,PHI,15365854,15365854
Jonas Valanciunas,MEM,15000000,29000000
Andre Iguodala,MIA,15000000,15000000
Marcus Morris Sr.,LAC,14883721,64000000
Kelly Oubre Jr.,GSW,14375000,14375000
Dejounte Murray,SAS,14285714,64000000
Rudy Gay,SAS,14000000,14000000
Taurean Prince,CLE,13942308,29000000
Will Barton,DEN,13920000,13920000
Davis Bertans,WAS,15000000,75000000
Thaddeus Young,CHI,13545000,19545000
Terrence Ross,ORL,13500000,37500000
Marcus Smart,BOS,13446428,27785713
Patrick Beverley,LAC,13333333,27654321
Malik Beasley,MIN,13325895,43175894
Patty Mills,SAS,13285714,13285714
Christian Wood,HOU,13015874,41000000
JJ Redick,NOP,13013700,13013700
Justise Winslow,MEM,13000000,13000000
Trevor Ariza,OKC,12800000,1800000
Brook Lopez,MIL,12697675,39906976
Dion Waiters,MEM,12650000,12650000
Cory Joseph,SAC,12600000,12600000
Markelle Fultz,ORL,12288697,62288697
Kelly Olynyk,MIA,12198243,12198243
Tony Snell,ATL,12178571,12178571
Robert Covington,POR,12138345,25113816
Kentavious Caldwell-Pope,LAL,12073020,30000000
Jusuf Nurkic,POR,12000000,16000000
T.J. Warren,IND,11750000,24440000
Larry Nance Jr.,CLE,11709091,32072727
Jordan Clarkson,UTA,11500000,37260000
Spencer Dinwiddie,BKN,11454048,11454048
Dillon Brooks,MEM,11400000,35000000
Lonzo Ball,NOP,11003782,11003782
Norman Powell,TOR,10865952,10865952
Joe Ingles,UTA,10863637,24863637
Josh Richardson,DAL,10800000,10800000
Jeremy Lamb,IND,10500000,21000000
DeAndre Jordan,BKN,10375678,30079118
Zion Williamson,NOP,10245480,20978880
Dwight Powell,DAL,10185185,33000000
Rodney Hood,POR,10047450,10047450
Deandre Ayton,PHX,10018200,22651150
Tomas Satoransky,CHI,10000000,15000000
Paul Millsap,DEN,10000000,10000000
Jayson Tatum,BOS,9897120,135801024
Anthony Edwards,MIN,9757440,20002920
Meyers Leonard,MIA,9756098,9756098
Al-Farouq Aminu,ORL,9720900,19904700
Dante Exum,HOU,9600000,9100000
George Hill,OKC,9590602,10866093
Kyle Anderson,MEM,9505100,19442250
Derrick Jones Jr.,POR,9268293,19000000
Jae Crowder,PHX,9258000,29162700
Derrick Favors,UTA,9258000,18978900
Montrezl Harrell,LAL,9258000,18978900
Tristan Thompson,BOS,9258000,18978900
Serge Ibaka,LAC,9258000,9258000
Ja Morant,MEM,9166800,18770160
Delon Wright,DET,9000000,17526316
Marvin Bagley III,SAC,8963640,20275754
Cedi Osman,CLE,8750000,24150000
James Wiseman,GSW,8730240,17897040
Dario Saric,PHX,8333333,27000000
Thomas Bryant,WAS,8333333,17063492
Maxi Kleber,DAL,8250000,17000000
RJ Barrett,NYK,8231760,16855680
Jakob Poeltl,SAS,8101852,26250000
De'Aaron Fox,SAC,8099627,171100217
Luka Doncic,DAL,8049360,18223751
Royce O'Neale,UTA,8035714,36000000
Mason Plumlee,DET,8000000,24662500
Lou Williams,LAC,8000000,8000000
P.J. Tucker,HOU,7969537,7969537
Tyus Jones,MEM,7965100,15487300
LaMelo Ball,CHA,7839960,16071720
Seth Curry,PHI,7813953,24558140
De'Anthony Melton,MEM,7812500,35000000
Derrick Rose,NYK,7682927,7682927
Cristiano Felicio,CHI,7529020,7529020
Rajon Rondo,ATL,7500000,15000000
De'Andre Hunter,ATL,7422000,15197400
Jonathan Isaac,ORL,7362566,87362566
Doug McDermott,IND,7333333,7333333
Robin Lopez,WAS,7300000,7300000
Jaren Jackson Jr.,MEM,7257360,16437920
JaMychal Green,DEN,7199760,14759508
Nemanja Bjelica,SAC,7150000,0
Patrick Williams,CHI,7068360,14490360
Ivica Zubac,LAC,7000000,14518518
