nameTeam,slugTeamBREF,nameConference
Milwaukee Bucks,MIL,Eastern
Toronto Raptors,TOR,Eastern
Boston Celtics,BOS,Eastern
Indiana Pacers,IND,Eastern
Miami Heat,MIA,Eastern
Philadelphia 76ers,PHI,Eastern
Brooklyn Nets,BRK,Eastern
Orlando Magic,ORL,Eastern
Charlotte Hornets,CHO,Eastern
Washington Wizards,WAS,Eastern
Chicago Bulls,CHI,Eastern
New York Knicks,NYK,Eastern
Detroit Pistons,DET,Eastern
Atlanta Hawks,ATL,Eastern
Cleveland Cavaliers,CLE,Eastern
Los Angeles Lakers,LAL,Western
Los Angeles Clippers,LAC,Western
Denver Nuggets,DEN,Western
Houston Rockets,HOU,Western
Oklahoma City Thunder,OKC,Western
Utah Jazz,UTA,Western
Dallas Mavericks,DAL,Western
Portland Trail Blazers,POR,Western
Memphis Grizzlies,MEM,Western
Phoenix Suns,PHO,Western
San Antonio Spurs,SAS,Western
Sacramento Kings,SAC,Western
New Orleans Pelicans,NOP,Western
Minnesota Timberwolves,MIN,Western
Golden State Warriors,GSW,Western
