row_names,team1,team1_moneyline,team1_spread,team2,team2_moneyline,team2_spread,pts_bet,date
1,Boston Celtics,165,4.5,Philadelphia 76ers,-195,-4.5,220.5,2021-01-20
2,Brooklyn Nets,-575,-10.5,Cleveland Cavaliers,425,10.5,226.5,2021-01-20
3,Dallas Mavericks,-140,-2.5,Indiana Pacers,120,2.5,221.5,2021-01-20
4,Detroit Pistons,170,4.5,Atlanta Hawks,-200,-4.5,221,2021-01-20
5,Miami Heat,150,3.5,Toronto Raptors,-180,-3.5,222.5,2021-01-20
6,Orlando Magic,-180,-4,Minnesota Timberwolves,150,4,219.5,2021-01-20
7,Phoenix Suns,-220,-5.5,Houston Rockets,180,5.5,219,2021-01-20
8,Sacramento Kings,420,10,Los Angeles Clippers,-570,-10,230.5,2021-01-20
9,San Antonio Spurs,-105,1,Golden State Warriors,-115,-1,228,2021-01-20
10,Los Angeles Lakers,100,1.5,Milwaukee Bucks,-120,-1.5,228.5,2021-01-21
11,New York Knicks,160,5,Golden State Warriors,-190,-5,214.5,2021-01-21
12,New Orleans Pelicans,230,7,Utah Jazz,-280,-7,216.5,2021-01-21
13,Chicago Bulls,125,3,Charlotte Hornets,-145,-3,228.5,2021-01-22
14,Orlando Magic,145,4,Indiana Pacers,-175,-4,217,2021-01-22
15,Houston Rockets,125,2.5,Detroit Pistons,-145,-2.5,214.5,2021-01-22
16,Boston Celtics,155,4.5,Philadelphia 76ers,-185,-4.5,222,2021-01-22
17,Miami Heat,110,2,Toronto Raptors,-130,-2,221.5,2021-01-22
18,Brooklyn Nets,-265,-7,Cleveland Cavaliers,215,7,223,2021-01-22
19,Atlanta Hawks,-225,-6,Minnesota Timberwolves,185,6,225.5,2021-01-22
20,Dallas Mavericks,-130,-2,San Antonio Spurs,110,2,223,2021-01-22
21,Oklahoma City Thunder,800,13,Los Angeles Clippers,-1300,-13,219.5,2021-01-22
22,New York Knicks,140,4,Sacramento Kings,-170,-4,218.5,2021-01-22
23,Denver Nuggets,100,1.5,Phoenix Suns,-120,-1.5,220,2021-01-22
24,Philadelphia 76ers,-290,-6.5,Detroit Pistons,235,6.5,218,2021-01-23
25,Miami Heat,270,7.5,Brooklyn Nets,-340,-7.5,232.5,2021-01-23
26,New Orleans Pelicans,-340,-8,Minnesota Timberwolves,270,8,220.5,2021-01-23
27,Golden State Warriors,250,7.5,Utah Jazz,-310,-7.5,227.5,2021-01-23
