nameTeam,fgmOpponent,fgaOpponent,pctFGOpponent,fg3mOpponent,fg3aOpponent,pctFG3Opponent,pctFTOpponent,ftmOpponent,ftaOpponent,ptsOpponent,pctFGOpponentRank,pctFG3OpponentRank,ftaOpponentRank,ptsOffTOV,ptsSecondChance,ptsFastBreak,ptsPaint,ptsOffTOVOpponent,ptsSecondChanceOpponent,ptsFastBreakOpponent,ptsPaintOpponent,ptsOffTOVRank,ptsSecondChanceRank,ptsFastBreakRank,ptsPaintRank,potsOffTOVOpponentRank,ptsSecondChanceOpponentRank,ptsFastBreakOpponentRank,ptsPaintOpponentRank
Atlanta Hawks,41.3,89.1,0.463,11.9,34.2,0.349,0.803,16.9,21.1,111.4,12,3,12,14.7,14.3,10,47.8,15.9,13.2,11.8,48.7,25,4,28,13,11,17,9,20
Boston Celtics,39.9,86,0.464,12.8,34.3,0.374,0.785,18.5,23.5,111.2,14,22,25,17.8,13.3,11.8,46.3,15.8,13.2,11.8,44.3,9,9,17,19,9,19,10,5
Brooklyn Nets,41.9,91.3,0.459,13.2,36.2,0.365,0.775,17.1,22,114.1,7,14,14,15.8,12.3,14.3,49.2,16.1,15.3,12.1,47.8,20,24,6,11,14,29,15,17
Charlotte Hornets,41.3,88.1,0.468,14.5,39.5,0.366,0.745,14.4,19.3,111.4,17,17,3,17.7,12.7,13.6,45.9,16.9,13.2,13.2,47.2,10,20,10,20,19,17,21,10
Chicago Bulls,41.4,87.7,0.473,11.5,32.3,0.356,0.774,17.2,22.2,111.6,23,7,18,14.5,13.2,11.5,49.4,17.8,11.6,11.7,48.9,26,11,20,9,27,3,8,21
Cleveland Cavaliers,42,86.7,0.484,12.4,32.4,0.383,0.779,15.9,20.4,112.3,29,28,7,16.3,12.9,11.3,51,17.9,12.1,12.9,50.6,16,16,22,6,28,8,19,27
Dallas Mavericks,40.1,87.1,0.46,12.8,35.2,0.365,0.764,17.2,22.5,110.2,9,13,20,14.5,12.3,11.4,44.2,14.6,13.1,12.4,45.2,27,23,21,25,3,15,17,7
Denver Nuggets,40,85.4,0.469,13,35.7,0.363,0.773,17.1,22.1,110.1,18,11,16,18,13.8,12.4,49.7,15.6,11.3,13.4,45.2,7,6,13,8,7,1,23,6
Detroit Pistons,41.4,86.9,0.476,11.3,31.4,0.362,0.76,17,22.3,111.1,26,10,19,16.5,12.7,10.7,47.4,17.3,13.4,11.6,51.3,14,19,25,16,23,21,5,28
Golden State Warriors,40.2,89,0.452,12.4,34.5,0.359,0.778,19.8,25.5,112.7,3,8,30,17.4,10.5,14.4,45.4,17.5,14.2,13.3,47.3,13,29,5,21,25,27,22,13
