slugScore,namePlayer1,slugTeamPlayer1,namePlayer2,slugTeamPlayer2,namePlayer3,slugTeamPlayer3,idGame,numberPeriod,timeQuarter,descriptionPlayHome,descriptionPlayVisitor,timeRemaining,scoreAway,scoreHome,marginScore,Date
NA,NA,NA,NA,NA,NA,NA,42000406,1,12:00,NA,NA,48,NA,NA,NA,2021-07-20
NA,Brook Lopez,MIL,Deandre Ayton,PHX,Devin Booker,PHX,42000406,1,12:00,Jump Ball Lopez vs. Ayton: Tip to Booker,NA,48,NA,NA,NA,2021-07-20
NA,Chris Paul,PHX,NA,NA,NA,NA,42000406,1,11:40,NA,MISS Paul 20' Pullup Jump Shot,47.6666666666667,NA,NA,NA,2021-07-20
NA,Giannis Antetokounmpo,MIL,NA,NA,NA,NA,42000406,1,11:39,Antetokounmpo REBOUND (Off:0 Def:1),NA,47.65,NA,NA,NA,2021-07-20
NA,Jrue Holiday,MIL,NA,NA,NA,NA,42000406,1,11:21,MISS Holiday 19' Pullup Jump Shot,NA,47.35,NA,NA,NA,2021-07-20
NA,Jae Crowder,PHX,NA,NA,NA,NA,42000406,1,11:20,NA,Crowder REBOUND (Off:0 Def:1),47.3333333333333,NA,NA,NA,2021-07-20
NA,Mikal Bridges,PHX,NA,NA,Giannis Antetokounmpo,MIL,42000406,1,11:14,Antetokounmpo BLOCK (1 BLK),MISS Bridges 4' Running Layup,47.2333333333333,NA,NA,NA,2021-07-20
NA,Khris Middleton,MIL,NA,NA,NA,NA,42000406,1,11:13,Middleton REBOUND (Off:0 Def:1),NA,47.2166666666667,NA,NA,NA,2021-07-20
0 - 2,Giannis Antetokounmpo,MIL,Khris Middleton,MIL,NA,NA,42000406,1,11:06,Antetokounmpo 4' Driving Floating Bank Jump Shot (2 PTS) (Middleton 1 AST),NA,47.1,0,2,2,2021-07-20
2 - 2,Devin Booker,PHX,NA,NA,NA,NA,42000406,1,10:48,NA,Booker 15' Fadeaway Jumper (2 PTS),46.8,2,2,NA,2021-07-20
NA,Khris Middleton,MIL,NA,NA,NA,NA,42000406,1,10:24,MISS Middleton 14' Step Back Jump Shot,NA,46.4,NA,NA,NA,2021-07-20
NA,NA,NA,NA,NA,NA,NA,42000406,1,10:24,BUCKS Rebound,NA,46.4,NA,NA,NA,2021-07-20
NA,NA,NA,NA,NA,NA,NA,42000406,1,10:24,BUCKS Turnover: Shot Clock (T#1),NA,46.4,NA,NA,NA,2021-07-20
NA,Devin Booker,PHX,NA,NA,NA,NA,42000406,1,10:13,NA,MISS Booker 27' 3PT Step Back Jump Shot,46.2166666666667,NA,NA,NA,2021-07-20
NA,Mikal Bridges,PHX,NA,NA,NA,NA,42000406,1,10:12,NA,Bridges REBOUND (Off:1 Def:0),46.2,NA,NA,NA,2021-07-20
NA,Jae Crowder,PHX,NA,NA,NA,NA,42000406,1,10:03,NA,MISS Crowder 26' 3PT Jump Shot,46.05,NA,NA,NA,2021-07-20
NA,Khris Middleton,MIL,NA,NA,NA,NA,42000406,1,10:00,Middleton REBOUND (Off:0 Def:2),NA,46,NA,NA,NA,2021-07-20
NA,Giannis Antetokounmpo,MIL,Deandre Ayton,PHX,NA,NA,42000406,1,9:53,Antetokounmpo Bad Pass Turnover (P1.T2),Ayton STEAL (1 STL),45.8833333333333,NA,NA,NA,2021-07-20
NA,Chris Paul,PHX,NA,NA,NA,NA,42000406,1,9:43,NA,MISS Paul 14' Step Back Jump Shot,45.7166666666667,NA,NA,NA,2021-07-20
NA,Giannis Antetokounmpo,MIL,NA,NA,NA,NA,42000406,1,9:42,Antetokounmpo REBOUND (Off:0 Def:2),NA,45.7,NA,NA,NA,2021-07-20
NA,Jrue Holiday,MIL,Deandre Ayton,PHX,NA,NA,42000406,1,9:35,Holiday Bad Pass Turnover (P1.T3),Ayton STEAL (2 STL),45.5833333333333,NA,NA,NA,2021-07-20
NA,Jae Crowder,PHX,Jrue Holiday,MIL,NA,NA,42000406,1,9:25,Holiday STEAL (1 STL),Crowder Bad Pass Turnover (P1.T1),45.4166666666667,NA,NA,NA,2021-07-20
NA,Jrue Holiday,MIL,NA,NA,NA,NA,42000406,1,9:20,MISS Holiday 27' 3PT Running Pull-Up Jump Shot,NA,45.3333333333333,NA,NA,NA,2021-07-20
NA,Devin Booker,PHX,NA,NA,NA,NA,42000406,1,9:19,NA,Booker REBOUND (Off:0 Def:1),45.3166666666667,NA,NA,NA,2021-07-20
NA,Jae Crowder,PHX,Khris Middleton,MIL,NA,NA,42000406,1,9:04,Middleton STEAL (1 STL),Crowder Lost Ball Turnover (P2.T2),45.0666666666667,NA,NA,NA,2021-07-20
