Player,boxOutsDefense,screenAssist,chargesDrawn,deflections
Aaron Gordon,9,26,0,51
Aaron Holiday,28,2,0,97
Aaron Nesmith,18,6,1,24
Abdel Nader,11,1,0,18
Adam Mokoka,3,0,0,4
Al Horford,61,62,0,33
Al-Farouq Aminu,11,17,0,33
Alec Burks,5,3,0,70
Aleksej Pokusevski,11,23,0,36
Alen Smailagic,6,11,0,7
Alex Caruso,30,17,15,129
Alex Len,82,131,0,58
Alfonzo McKinnie,5,3,4,9
Alize Johnson,5,2,1,3
Amida Brimah,1,5,0,0
Amir Coffey,8,3,0,17
Anderson Varejao,2,3,0,1
Andre Drummond,34,130,4,130
Andre Iguodala,66,16,4,103
Andre Roberson,3,5,0,5
Andrew Wiggins,39,30,0,98
Anfernee Simons,7,9,2,39
Anthony Davis,15,52,2,89
Anthony Edwards,6,10,0,131
Anthony Gill,14,10,1,7
Anthony Lamb,18,11,2,11
Anthony Tolliver,4,5,1,2
Anzejs Pasecniks,1,0,0,1
Armoni Brooks,4,3,0,26
Aron Baynes,93,156,12,27
Ashton Hagans,0,0,0,0
Austin Rivers,9,2,0,46
Avery Bradley,21,7,2,39
Axel Toupane,3,0,0,17
Bam Adebayo,218,298,5,144
Ben McLemore,22,3,1,43
Ben Simmons,19,94,3,202
Bismack Biyombo,146,195,0,44
Blake Griffin,46,92,22,53
Boban Marjanovic,13,53,0,10
Bobby Portis,119,100,2,104
Bogdan Bogdanovic,24,18,0,93
Bojan Bogdanovic,59,29,3,56
Bol Bol,1,1,0,4
Brad Wanamaker,17,10,2,93
Bradley Beal,20,17,7,122
Brandon Clarke,84,73,2,92
Brandon Goodwin,12,6,0,25
Brandon Ingram,12,17,3,80
Brian Bowen II,1,0,0,0
Brodric Thomas,3,4,0,28
Brook Lopez,163,147,0,76
Bruce Brown,40,42,1,114
Bruno Caboclo,1,0,0,1
Bruno Fernando,26,33,0,9
Bryn Forbes,21,21,0,39
Buddy Hield,29,33,1,121
CJ Elleby,2,0,1,12
CJ McCollum,10,7,1,60
Caleb Martin,24,6,12,61
Cam Reddish,11,1,0,67
Cameron Johnson,52,16,5,65
Cameron Oliver,2,11,0,3
Cameron Payne,21,6,8,78
Cameron Reynolds,2,1,0,1
Caris LeVert,22,6,3,107
Carmelo Anthony,52,61,0,69
Carsen Edwards,4,1,0,12
Cassius Stanley,2,0,0,4
Cassius Winston,1,0,0,5
Cedi Osman,17,16,6,74
Chandler Hutchison,5,8,1,23
Charlie Brown Jr.,1,0,1,12
Chasson Randle,8,5,2,49
Chimezie Metu,22,55,1,35
Chris Boucher,51,129,2,64
Chris Chiozza,1,8,0,12
Chris Paul,30,23,3,175
Chris Silva,8,17,1,5
Christian Wood,46,79,1,49
Chuma Okeke,32,18,3,99
Clint Capela,139,263,1,90
Coby White,16,21,5,75
Cody Martin,23,14,8,76
Cody Zeller,73,128,7,69
Cole Anthony,6,8,6,56
Collin Sexton,10,16,2,107
Cory Joseph,48,15,3,86
Cristiano Felicio,2,19,0,5
D'Angelo Russell,10,11,3,78
D.J. Augustin,15,4,4,36
D.J. Wilson,33,23,2,26
DaQuan Jeffries,21,2,1,33
Dakota Mathias,2,1,1,3
Damian Jones,39,100,0,27
Damian Lillard,7,17,9,113
Damion Lee,32,8,2,61
Damyean Dotson,10,4,0,27
Daniel Gafford,89,120,7,53
Daniel Oturu,5,21,1,9
Daniel Theis,117,193,5,100
Danilo Gallinari,40,44,1,63
Danny Green,32,20,1,173
Dante Exum,1,2,0,6
Danuel House Jr.,29,16,0,45
Dario Saric,82,126,5,56
Darius Bazley,41,37,0,44
Darius Garland,16,10,4,103
Darius Miller,6,4,0,23
David Nwaba,21,18,4,54
Davis Bertans,65,32,3,75
De'Aaron Fox,17,25,7,161
De'Andre Hunter,21,8,1,27
De'Anthony Melton,16,12,0,129
DeAndre Jordan,82,192,1,48
DeAndre' Bembry,9,9,0,81
DeMar DeRozan,47,14,1,98
DeMarcus Cousins,56,76,10,64
Dean Wade,59,41,0,64
Deandre Ayton,78,387,0,73
Deividas Sirvydis,2,1,0,10
Dejounte Murray,20,15,0,193
Delon Wright,31,11,2,186
Deni Avdija,25,10,2,68
Dennis Schroder,31,24,10,111
Dennis Smith Jr.,6,6,0,52
Denzel Valentine,22,8,0,48
Derrick Favors,110,162,2,55
Derrick Jones Jr.,24,44,0,86
Derrick Rose,3,4,2,73
Derrick White,8,16,14,70
Desmond Bane,24,12,0,88
Devin Booker,59,22,1,74
Devin Cannady,2,1,0,6
