player,salary_rank,team,games_played,player_mvp_calc_avg,salary,team_games_played,games_missed,pvm_rank,rankingish,percentile_rank,color_var,adj_penalty_final,pct_penalized
Giannis Antetokounmpo,$30+ M,MIL,52,47.2,39344970,63,11,31.17,1,100,Superstars,1,0
Nikola Jokic,$30+ M,DEN,56,46,30510423,62,6,31.17,0.964,96.4,Superstars,1,0
Joel Embiid,$30+ M,PHI,49,45.4,31579390,61,12,31.17,0.929,92.9,Superstars,1,0
Luka Doncic,$10-15 M,DAL,48,41.57,10174391,63,15,17.66,1,100,Great Value,0.96,0.04
Trae Young,$5-10 M,ATL,57,40.9,8326471,62,5,15.89,1,100,Great Value,1,0
Stephen Curry,$30+ M,GSW,58,40.6,45780966,63,5,31.17,0.893,89.3,Superstars,1,0
Dejounte Murray,$15-20 M,SAS,55,39.8,15428571,63,8,20.88,1,100,Great Value,1,0
Ja Morant,$5-10 M,MEM,50,39.49,9603360,64,14,15.89,0.987,98.7,Great Value,0.98,0.02
DeMar DeRozan,$25-30 M,CHI,59,39,26000000,63,4,30.49,1,100,Great Value,1,0
Jayson Tatum,$25-30 M,BOS,61,38.8,28103550,65,4,30.49,0.875,87.5,Normal,1,0
James Harden,$30+ M,PHI,47,38.69,43848000,61,14,31.17,0.857,85.7,Superstars,0.96,0.04
Donovan Mitchell,$25-30 M,UTA,49,38.4,28103550,61,12,30.49,0.75,75,Normal,1,0
Chris Paul,$30+ M,PHX,58,37.6,30800000,62,4,31.17,0.786,78.6,Superstars,1,0
Devin Booker,$30+ M,PHX,54,37.6,31610000,62,8,31.17,0.786,78.6,Superstars,1,0
LeBron James,$30+ M,LAL,45,37.26,41180544,62,17,31.17,0.75,75,Superstars,0.9,0.1
Karl-Anthony Towns,$30+ M,MIN,56,36,31610000,63,7,31.17,0.714,71.4,Superstars,1,0
Fred VanVleet,$15-20 M,TOR,52,35.4,19675926,62,10,20.88,0.968,96.8,Great Value,1,0
Pascal Siakam,$30+ M,TOR,49,33.71,31320000,62,13,31.17,0.679,67.9,Superstars,0.98,0.02
Jrue Holiday,$30+ M,MIL,50,33.5,30133333,63,13,31.17,0.643,64.3,Superstars,1,0
LaMelo Ball,$5-10 M,CHA,57,33.1,8231760,64,7,15.89,0.974,97.4,Great Value,1,0
Darius Garland,$5-10 M,CLE,48,32.64,7040880,62,14,15.89,0.961,96.1,Great Value,0.96,0.04
Zach LaVine,$15-20 M,CHI,51,32,19500000,63,12,20.88,0.935,93.5,Great Value,1,0
Kevin Durant,$30+ M,BKN,37,31.65,40918900,64,27,31.17,0.571,57.1,Superstars,0.75,0.25
D'Angelo Russell,$30+ M,MIN,49,31.65,30013500,63,14,31.17,0.571,57.1,Superstars,0.98,0.02
Jimmy Butler,$30+ M,MIA,44,31.39,36016200,64,20,31.17,0.536,53.6,Superstars,0.86,0.14
Jaylen Brown,$20-25 M,BOS,50,31.3,24830357,65,15,22.3,1,100,Great Value,0.96,0.04
Brandon Ingram,$25-30 M,NOP,48,31.1,29467800,62,14,30.49,0.625,62.5,Normal,0.96,0.04
Nikola Vucevic,$20-25 M,CHI,56,31,24000000,63,7,22.3,0.917,91.7,Great Value,1,0
Khris Middleton,$30+ M,MIL,51,30.9,35500000,63,12,31.17,0.5,50,Superstars,1,0
Anthony Edwards,$10-15 M,MIN,56,30.9,10245480,63,7,17.66,0.971,97.1,Great Value,1,0
Domantas Sabonis,$15-20 M,SAC,56,30.8,18562500,65,9,20.88,0.903,90.3,Great Value,1,0
Shai Gilgeous-Alexander,$5-10 M,OKC,47,30.46,5495532,62,15,15.89,0.948,94.8,Great Value,0.94,0.06
Miles Bridges,$5-10 M,CHA,62,30.4,5421493,64,2,15.89,0.935,93.5,Great Value,1,0
Rudy Gobert,$30+ M,UTA,47,30.14,35344828,61,14,31.17,0.464,46.4,Normal,0.96,0.04
De'Aaron Fox,$25-30 M,SAC,53,29.3,28103550,65,12,30.49,0.5,50,Normal,1,0
Terry Rozier,$15-20 M,CHA,55,29.2,17905263,64,9,20.88,0.871,87.1,Normal,1,0
Tyler Herro,< $5 M,MIA,51,28.4,4004280,64,13,6.86,1,100,Great Value,1,0
Tyrese Maxey,< $5 M,PHI,54,28.3,2602920,61,7,6.86,0.997,99.7,Great Value,1,0
Russell Westbrook,$30+ M,LAL,61,28.2,44211146,62,1,31.17,0.429,42.9,Normal,1,0
Julius Randle,$15-20 M,NYK,60,28,19800000,62,2,20.88,0.839,83.9,Normal,1,0
Tobias Harris,$30+ M,PHI,52,28,36000000,61,9,31.17,0.393,39.3,Normal,1,0
Tyrese Haliburton,< $5 M,IND,59,27.6,4023600,64,5,6.86,0.995,99.5,Great Value,1,0
Jarrett Allen,$20-25 M,CLE,54,27.2,20000000,62,8,22.3,0.833,83.3,Normal,1,0
Jonas Valanciunas,$10-15 M,NOP,56,26.9,14000000,62,6,17.66,0.943,94.3,Great Value,1,0
Mike Conley,$20-25 M,UTA,55,26.7,21000000,61,6,22.3,0.75,75,Normal,1,0
CJ McCollum,$30+ M,NOP,44,26.66,30864198,62,18,31.17,0.357,35.7,Normal,0.88,0.12
Anthony Davis,$30+ M,LAL,37,26.63,35361360,62,25,31.17,0.286,28.6,Normal,0.75,0.25
Paul George,$30+ M,LAC,26,26.63,39344970,65,39,31.17,0.286,28.6,Normal,0.75,0.25
Jalen Brunson,< $5 M,DAL,62,26.6,1802057,63,1,6.86,0.992,99.2,Great Value,1,0
Kyle Lowry,$25-30 M,MIA,48,26.51,26984128,64,16,30.49,0.375,37.5,Normal,0.94,0.06
Kyrie Irving,$30+ M,BKN,15,26.48,34916200,64,49,31.17,0.25,25,Normal,0.75,0.25
Gary Trent,$15-20 M,TOR,53,26.4,16000000,62,9,20.88,0.806,80.6,Normal,1,0
Jaren Jackson,$5-10 M,MEM,63,26.4,9180560,64,1,15.89,0.922,92.2,Great Value,1,0
Andrew Wiggins,$30+ M,GSW,58,26.4,31579390,63,5,31.17,0.214,21.4,Normal,1,0
Marcus Smart,$10-15 M,BOS,55,26.3,14339285,65,10,17.66,0.914,91.4,Great Value,1,0
Jakob Poeltl,$5-10 M,SAS,52,26.3,8750000,63,11,15.89,0.909,90.9,Great Value,1,0
Bradley Beal,$30+ M,WAS,40,25.99,34502130,61,21,31.17,0.179,17.9,Bad Value,0.82,0.18
Desmond Bane,< $5 M,MEM,60,25.6,2033160,64,4,6.86,0.99,99,Great Value,1,0
John Collins,$20-25 M,ATL,50,25.6,23000000,62,12,22.3,0.667,66.7,Normal,1,0
Damian Lillard,$30+ M,POR,29,25.58,39344900,62,33,31.17,0.143,14.3,Bad Value,0.75,0.25
Bobby Portis,< $5 M,MIL,54,25.5,4347600,63,9,6.86,0.987,98.7,Great Value,1,0
Derrick White,$15-20 M,BOS,58,25.5,15178571,65,7,20.88,0.774,77.4,Normal,1,0
Evan Mobley,$5-10 M,CLE,54,25.4,8075160,62,8,15.89,0.896,89.6,Normal,1,0
Robert Williams,< $5 M,BOS,52,25.1,3661976,65,13,6.86,0.985,98.5,Great Value,1,0
Bam Adebayo,$25-30 M,MIA,39,25,28103550,64,25,30.49,0.25,25,Normal,0.76,0.24
Cole Anthony,< $5 M,ORL,49,24.89,3449400,63,14,6.86,0.982,98.2,Great Value,0.98,0.02
Mikal Bridges,$5-10 M,PHX,62,24.5,5557725,62,0,15.89,0.883,88.3,Normal,1,0
Jusuf Nurkic,$10-15 M,POR,56,24.5,12000000,62,6,17.66,0.886,88.6,Normal,1,0
Scottie Barnes,$5-10 M,TOR,54,24.3,7280520,62,8,15.89,0.87,87,Normal,1,0
Reggie Jackson,$10-15 M,LAC,61,24.2,10384500,65,4,17.66,0.857,85.7,Normal,1,0
Will Barton,$15-20 M,DEN,55,23.9,15384615,62,7,20.88,0.742,74.2,Normal,1,0
Jordan Poole,< $5 M,GSW,57,23.7,2161440,63,6,6.86,0.98,98,Great Value,1,0
Kyle Kuzma,$10-15 M,WAS,58,23.7,13000000,61,3,17.66,0.829,82.9,Normal,1,0
Al Horford,$25-30 M,BOS,55,23.7,27000000,65,10,30.49,0.125,12.5,Bad Value,1,0
Seth Curry,$5-10 M,BKN,53,23.6,8186047,64,11,15.89,0.857,85.7,Normal,1,0
Malcolm Brogdon,$20-25 M,IND,31,23.4,21700000,64,33,22.3,0.583,58.3,Normal,0.75,0.25
Christian Wood,$10-15 M,HOU,58,23.4,13666667,62,4,17.66,0.8,80,Normal,1,0
Aaron Gordon,$15-20 M,DEN,57,23,16409091,62,5,20.88,0.71,71,Normal,1,0
Monte Morris,$5-10 M,DEN,56,22.9,8333333,62,6,15.89,0.844,84.4,Normal,1,0
Jordan Clarkson,$10-15 M,UTA,58,22.6,12420000,61,3,17.66,0.771,77.1,Normal,1,0
Gordon Hayward,$25-30 M,CHA,48,22.56,29900000,64,16,30.49,0,0,Bad Value,0.94,0.06
Caris LeVert,$15-20 M,CLE,43,22.45,17500000,62,19,20.88,0.677,67.7,Normal,0.86,0.14
RJ Barrett,$5-10 M,NYK,51,22.4,8623920,62,11,15.89,0.831,83.1,Normal,1,0
Bojan Bogdanovic,$15-20 M,UTA,59,22.4,18700000,61,2,20.88,0.645,64.5,Normal,1,0
Cade Cunningham,$10-15 M,DET,49,22.34,10050120,63,14,17.66,0.743,74.3,Normal,0.98,0.02
OG Anunoby,$15-20 M,TOR,42,22.34,16071429,62,20,20.88,0.613,61.3,Normal,0.84,0.16
Spencer Dinwiddie,$15-20 M,DAL,50,22.3,17142857,63,13,20.88,0.548,54.8,Normal,1,0
Clint Capela,$15-20 M,ATL,54,22.3,17103448,62,8,20.88,0.548,54.8,Normal,1,0
Wendell Carter,$5-10 M,ORL,54,22.2,6920027,63,9,15.89,0.818,81.8,Normal,1,0
Kristaps Porzingis,$30+ M,DAL,34,22.05,31650600,63,29,31.17,0.107,10.7,Bad Value,0.75,0.25
Deandre Ayton,$10-15 M,PHX,41,21.98,12632950,62,21,17.66,0.714,71.4,Normal,0.82,0.18
Anfernee Simons,< $5 M,POR,56,21.7,3938818,62,6,6.86,0.977,97.7,Great Value,1,0
Kelly Oubre,$10-15 M,CHA,58,21.7,12000000,64,6,17.66,0.686,68.6,Normal,1,0
Keldon Johnson,< $5 M,SAS,58,21.5,2145720,63,5,6.86,0.975,97.5,Great Value,1,0
Kevin Love,$30+ M,CLE,54,21.5,31300000,62,8,31.17,0.071,7.1,Bad Value,1,0
Montrezl Harrell,$5-10 M,CHA,54,21.5,9720900,64,10,15.89,0.805,80.5,Normal,1,0
Harrison Barnes,$20-25 M,SAC,60,21.1,20284091,65,5,22.3,0.5,50,Normal,1,0
Dennis Schroder,$5-10 M,HOU,55,21,5890000,62,7,15.89,0.766,76.6,Normal,1,0
Franz Wagner,$5-10 M,ORL,63,21,5007840,63,0,15.89,0.766,76.6,Normal,1,0
