player,team,location,opponent,outcome,mp,fgm,fga,fgpercent,threepfgmade,threepattempted,threepointpercent,ft,fta,ftpercent,oreb,dreb,trb,ast,stl,blk,tov,pf,pts,plusminus,gmsc,date,type,season,game_ts_percent,season_ts_percent,season_avg_ppg,games_played,salary
Lauri Markkanen,CLE,A,DEN,W,27:29,4,12,0.333,2,8,0.25,2,2,1.000,0,4,4,2,4,1,1,1,12,10,11.1,2021-10-25T00:00:00Z,Regular Season,2022,0.466,0.417,11.8,4,15690909
Lauri Markkanen,CLE,H,ATL,W,31:42,3,15,0.2,1,6,0.167,5,6,.833,3,5,8,2,2,2,0,0,12,-4,10.7,2021-10-23T00:00:00Z,Regular Season,2022,0.34,0.417,11.8,4,15690909
Lauri Markkanen,CLE,H,CHA,L,34:24,5,11,0.455,2,5,0.4,1,2,.500,1,4,5,2,0,0,0,1,13,-9,9.8,2021-10-22T00:00:00Z,Regular Season,2022,0.547,0.417,11.8,4,15690909
Lauri Markkanen,CLE,A,MEM,L,31:28,4,14,0.286,2,7,0.286,0,0,,2,7,9,2,1,0,1,0,10,-4,6.7,2021-10-20T00:00:00Z,Regular Season,2022,0.357,0.417,11.8,4,15690909
Wayne Selden,NYK,A,ORL,W,0:58,0,0,NA,0,0,NA,0,0,,0,0,0,0,0,0,0,0,0,-2,0,2021-10-22T00:00:00Z,Regular Season,2022,NA,NA,0,1,1729217
Cody Zeller,POR,A,LAC,L,13:03,2,4,0.5,0,0,NA,4,6,.667,0,3,3,0,1,0,1,1,8,-4,5.7,2021-10-25T00:00:00Z,Regular Season,2022,0.602,0.672,6,3,2389641
Cody Zeller,POR,H,PHX,W,12:54,2,2,1,0,0,NA,1,2,.500,0,4,4,1,0,0,0,4,5,-6,4.3,2021-10-23T00:00:00Z,Regular Season,2022,0.868,0.672,6,3,2389641
Cody Zeller,POR,H,SAC,L,19:08,2,3,0.667,0,0,NA,1,2,.500,2,4,6,1,1,1,0,1,5,1,7.9,2021-10-20T00:00:00Z,Regular Season,2022,0.644,0.672,6,3,2389641
Devin Vassell,SAS,H,MIL,L,19:06,2,6,0.333,0,4,0,0,0,,2,1,3,0,1,0,2,3,4,-7,0.1,2021-10-23T00:00:00Z,Regular Season,2022,0.333,0.56,9.7,3,4235160
Devin Vassell,SAS,A,DEN,L,20:13,2,7,0.286,1,3,0.333,1,2,.500,1,3,4,1,2,0,0,1,6,-22,5.4,2021-10-22T00:00:00Z,Regular Season,2022,0.381,0.56,9.7,3,4235160
Devin Vassell,SAS,H,ORL,W,25:07,8,12,0.667,3,4,0.75,0,0,,0,2,2,5,2,0,0,2,19,24,19.1,2021-10-20T00:00:00Z,Regular Season,2022,0.792,0.56,9.7,3,4235160
DeAndre' Bembry,BKN,H,WAS,W,18:01,3,5,0.6,0,0,NA,1,1,1.000,1,2,3,1,2,1,1,2,7,4,7.6,2021-10-25T00:00:00Z,Regular Season,2022,0.643,0.643,2.3,3,1939350
DeAndre' Bembry,BKN,H,CHA,L,1:29,0,0,NA,0,0,NA,0,0,,0,0,0,0,0,0,0,0,0,-2,0,2021-10-24T00:00:00Z,Regular Season,2022,NA,0.643,2.3,3,1939350
DeAndre' Bembry,BKN,A,MIL,L,3:45,0,0,NA,0,0,NA,0,0,,0,0,0,0,0,0,0,0,0,-9,0,2021-10-19T00:00:00Z,Regular Season,2022,NA,0.643,2.3,3,1939350
Max Strus,MIA,H,ORL,W,19:39,2,6,0.333,1,4,0.25,0,0,,0,1,1,1,0,0,0,2,5,12,1.8,2021-10-25T00:00:00Z,Regular Season,2022,0.417,0.519,5,3,1669178
Max Strus,MIA,A,IND,L,16:38,2,4,0.5,1,3,0.333,0,0,,1,3,4,0,0,0,0,1,5,-3,4.2,2021-10-23T00:00:00Z,Regular Season,2022,0.625,0.519,5,3,1669178
Max Strus,MIA,H,MIL,W,18:07,2,4,0.5,1,3,0.333,0,1,.000,0,2,2,1,0,1,0,1,5,6,4.2,2021-10-21T00:00:00Z,Regular Season,2022,0.563,0.519,5,3,1669178
