team,full_team,game_id,date,outcome,opponent,pts_scored,pts_scored_opp,mov,record
DEN,Denver Nuggets,21,2021-10-22T00:00:00Z,W,SAS,102,96,6,2 - 0
DEN,Denver Nuggets,7,2021-10-20T00:00:00Z,W,PHX,110,98,12,2 - 0
MIL,Milwaukee Bucks,32,2021-10-23T00:00:00Z,W,SAS,121,111,10,2 - 1
MIL,Milwaukee Bucks,16,2021-10-21T00:00:00Z,L,MIA,95,137,-42,2 - 1
MIL,Milwaukee Bucks,1,2021-10-19T00:00:00Z,W,BKN,127,104,23,2 - 1
BKN,Brooklyn Nets,17,2021-10-22T00:00:00Z,W,PHI,114,109,5,1 - 2
BKN,Brooklyn Nets,35,2021-10-24T00:00:00Z,L,CHA,95,111,-16,1 - 2
BKN,Brooklyn Nets,1,2021-10-19T00:00:00Z,L,MIL,104,127,-23,1 - 2
MIN,Minnesota Timberwolves,8,2021-10-20T00:00:00Z,W,HOU,124,106,18,2 - 0
MIN,Minnesota Timberwolves,33,2021-10-23T00:00:00Z,W,NOP,96,89,7,2 - 0
LAC,Los Angeles Clippers,31,2021-10-23T00:00:00Z,L,MEM,114,120,-6,0 - 2
LAC,Los Angeles Clippers,15,2021-10-21T00:00:00Z,L,GSW,113,115,-2,0 - 2
CHA,Charlotte Hornets,4,2021-10-20T00:00:00Z,W,IND,123,122,1,3 - 0
CHA,Charlotte Hornets,19,2021-10-22T00:00:00Z,W,CLE,123,112,11,3 - 0
CHA,Charlotte Hornets,35,2021-10-24T00:00:00Z,W,BKN,111,95,16,3 - 0
DET,Detroit Pistons,28,2021-10-23T00:00:00Z,L,CHI,82,97,-15,0 - 2
DET,Detroit Pistons,5,2021-10-20T00:00:00Z,L,CHI,88,94,-6,0 - 2
PHX,Phoenix Suns,7,2021-10-20T00:00:00Z,L,DEN,98,110,-12,1 - 2
PHX,Phoenix Suns,34,2021-10-23T00:00:00Z,L,POR,105,134,-29,1 - 2
PHX,Phoenix Suns,24,2021-10-22T00:00:00Z,W,LAL,115,105,10,1 - 2
WAS,Washington Wizards,23,2021-10-22T00:00:00Z,W,IND,135,134,1,2 - 0
WAS,Washington Wizards,13,2021-10-20T00:00:00Z,W,TOR,98,83,15,2 - 0
NOP,New Orleans Pelicans,20,2021-10-22T00:00:00Z,L,CHI,112,128,-16,0 - 3
NOP,New Orleans Pelicans,33,2021-10-23T00:00:00Z,L,MIN,89,96,-7,0 - 3
NOP,New Orleans Pelicans,9,2021-10-20T00:00:00Z,L,PHI,97,117,-20,0 - 3
OKC,Oklahoma City Thunder,40,2021-10-24T00:00:00Z,L,PHI,103,115,-12,0 - 3
OKC,Oklahoma City Thunder,10,2021-10-20T00:00:00Z,L,UTA,86,107,-21,0 - 3
OKC,Oklahoma City Thunder,22,2021-10-22T00:00:00Z,L,HOU,91,124,-33,0 - 3
