time_quarter,play,time_remaining_final,quarter,away_score,score,home_score,home_team,away_team,score_away,score_home,margin_score,date,leading_team,home_team_full,home_primary_color,away_team_full,away_primary_color,game_description,away_fill,home_fill,scoring_team_color,scoring_team,max_home_lead,max_away_lead,winning_team,losing_team
12:00,Jump ball: B. Adebayo vs. A. Horford (R. Williams gains possession),48,1st Quarter,Jump ball: B. Adebayo vs. A. Horford (R. Williams gains possession),Jump ball: B. Adebayo vs. A. Horford (R. Williams gains possession),Jump ball: B. Adebayo vs. A. Horford (R. Williams gains possession),BOS,MIA,0,0,0,2022-05-27,TIE,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#808080,TIE,4,-13,MIA,BOS
11:15,P. Tucker makes 3-pt jump shot from 24 ft (assist by J. Butler),47.25,1st Quarter,+3,3-0,NA,BOS,MIA,3,0,-3,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#98002e,MIA,4,-13,MIA,BOS
10:49,J. Butler makes 2-pt layup from 6 ft (assist by K. Lowry),46.82,1st Quarter,+2,5-0,NA,BOS,MIA,5,0,-5,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#98002e,MIA,4,-13,MIA,BOS
10:37,J. Tatum makes 3-pt jump shot from 26 ft (assist by A. Horford),46.62,1st Quarter,NA,5-3,+3,BOS,MIA,5,3,-2,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#008348,BOS,4,-13,MIA,BOS
10:11,J. Tatum makes free throw 1 of 2,46.18,1st Quarter,NA,5-4,+1,BOS,MIA,5,4,-1,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#008348,BOS,4,-13,MIA,BOS
10:11,J. Tatum makes free throw 2 of 2,46.18,1st Quarter,NA,5-5,+1,BOS,MIA,5,5,0,2022-05-27,TIE,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#008348,BOS,4,-13,MIA,BOS
9:38,M. Strus makes 2-pt dunk from 1 ft (assist by J. Butler),45.63,1st Quarter,+2,7-5,NA,BOS,MIA,7,5,-2,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#98002e,MIA,4,-13,MIA,BOS
9:02,K. Lowry makes 3-pt jump shot from 26 ft (assist by B. Adebayo),45.03,1st Quarter,+3,10-5,NA,BOS,MIA,10,5,-5,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#98002e,MIA,4,-13,MIA,BOS
8:26,K. Lowry makes 2-pt layup from 2 ft,44.43,1st Quarter,+2,12-5,NA,BOS,MIA,12,5,-7,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#98002e,MIA,4,-13,MIA,BOS
6:45,R. Williams makes 2-pt dunk from 2 ft (assist by M. Smart),42.75,1st Quarter,NA,12-7,+2,BOS,MIA,12,7,-5,2022-05-27,MIA,Boston Celtics,#008348,Miami Heat,#98002e,Boston Celtics Vs. Miami Heat,<span style='color:#98002e';>Miami Heat</span>,<span style='color:#008348';>Boston Celtics</span>,#008348,BOS,4,-13,MIA,BOS
