team,team_full,conference,predicted_wins,predicted_losses,projected_wins,projected_losses,championship_odds,wins_differential,predicted_stats,projected_stats,over_under
PHX,Phoenix Suns,Western,51.5,30.5,64,18,1400,12.5,51.5 - 30.5,64 - 18,Over
GSW,Golden State Warriors,Western,48.5,33.5,61,21,1100,12.5,48.5 - 33.5,61 - 21,Over
CHI,Chicago Bulls,Eastern,42.5,39.5,55,27,12500,12.5,42.5 - 39.5,55 - 27,Over
UTA,Utah Jazz,Western,52.5,29.5,55,27,1400,2.5,52.5 - 29.5,55 - 27,Over
MEM,Memphis Grizzlies,Western,41.5,40.5,55,27,10000,13.5,41.5 - 40.5,55 - 27,Over
MIA,Miami Heat,Eastern,48.5,33.5,53,29,3500,4.5,48.5 - 33.5,53 - 29,Over
BKN,Brooklyn Nets,Eastern,56.5,25.5,52,30,230,-4.5,56.5 - 25.5,52 - 30,Under
MIL,Milwaukee Bucks,Eastern,54.5,27.5,50,32,850,-4.5,54.5 - 27.5,50 - 32,Under
PHI,Philadelphia 76ers,Eastern,50.5,31.5,48,34,1600,-2.5,50.5 - 31.5,48 - 34,Under
CLE,Cleveland Cavaliers,Eastern,26.5,55.5,48,34,50000,21.5,26.5 - 55.5,48 - 34,Over
DAL,Dallas Mavericks,Western,48.5,33.5,45,37,2800,-3.5,48.5 - 33.5,45 - 37,Under
CHA,Charlotte Hornets,Eastern,38.5,43.5,44,38,10000,5.5,38.5 - 43.5,44 - 38,Over
DEN,Denver Nuggets,Western,47.5,34.5,43,39,2200,-4.5,47.5 - 34.5,43 - 39,Under
WAS,Washington Wizards,Eastern,33.5,48.5,43,39,15000,9.5,33.5 - 48.5,43 - 39,Over
TOR,Toronto Raptors,Eastern,35.5,46.5,42,40,10000,6.5,35.5 - 46.5,42 - 40,Over
NYK,New York Knicks,Eastern,41.5,40.5,41,41,8000,-0.5,41.5 - 40.5,41 - 41,Under
LAL,Los Angeles Lakers,Western,52.5,29.5,41,41,425,-11.5,52.5 - 29.5,41 - 41,Under
BOS,Boston Celtics,Eastern,45.5,36.5,40,42,4000,-5.5,45.5 - 36.5,40 - 42,Under
LAC,Los Angeles Clippers,Western,45.5,36.5,40,42,1600,-5.5,45.5 - 36.5,40 - 42,Under
MIN,Minnesota Timberwolves,Western,35.5,46.5,39,43,25000,3.5,35.5 - 46.5,39 - 43,Over
ATL,Atlanta Hawks,Eastern,47.5,34.5,34,48,3500,-13.5,47.5 - 34.5,34 - 48,Under
SAC,Sacramento Kings,Western,36.5,45.5,33,49,25000,-3.5,36.5 - 45.5,33 - 49,Under
POR,Portland Trail Blazers,Western,44.5,37.5,32,50,5000,-12.5,44.5 - 37.5,32 - 50,Under
NOP,New Orleans Pelicans,Western,39.5,42.5,31,51,8000,-8.5,39.5 - 42.5,31 - 51,Under
SAS,San Antonio Spurs,Western,28.5,53.5,29,53,25000,0.5,28.5 - 53.5,29 - 53,Over
IND,Indiana Pacers,Eastern,42.5,39.5,29,53,10000,-13.5,42.5 - 39.5,29 - 53,Under
OKC,Oklahoma City Thunder,Western,23.5,58.5,28,54,50000,4.5,23.5 - 58.5,28 - 54,Over
HOU,Houston Rockets,Western,27.5,54.5,22,60,50000,-5.5,27.5 - 54.5,22 - 60,Under
DET,Detroit Pistons,Eastern,24.5,57.5,20,62,50000,-4.5,24.5 - 57.5,20 - 62,Under
ORL,Orlando Magic,Eastern,22.5,59.5,15,67,50000,-7.5,22.5 - 59.5,15 - 67,Under
