player,player_new,player_logo,outcome,team,salary,pts,plusminus,game_ts_percent,pts_color,ts_color
Jaylen Brown,<span style='font-size:16px; color:royalblue;'>Jaylen Brown</span> <span style='font-size:12px; color:grey;'>BOS</span>,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627759.png,L,BOS,24830357,34,+1,0.663,2,0
Stephen Curry,<span style='font-size:16px; color:royalblue;'>Stephen Curry</span> <span style='font-size:12px; color:grey;'>GSW</span>,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201939.png,W,GSW,45780966,34,+8,0.747,0,0
Al Horford,<span style='font-size:16px; color:royalblue;'>Al Horford</span> <span style='font-size:12px; color:grey;'>BOS</span>,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201143.png,L,BOS,27000000,19,+2,1.019,0,0
Andrew Wiggins,<span style='font-size:16px; color:royalblue;'>Andrew Wiggins</span> <span style='font-size:12px; color:grey;'>GSW</span>,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203952.png,W,GSW,31579390,18,+5,0.5,0,0
Jordan Poole,<span style='font-size:16px; color:royalblue;'>Jordan Poole</span> <span style='font-size:12px; color:grey;'>GSW</span>,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629673.png,W,GSW,2161440,15,+11,0.582,0,0
Jayson Tatum,<span style='font-size:16px; color:royalblue;'>Jayson Tatum</span> <span style='font-size:12px; color:grey;'>BOS</span>,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628369.png,L,BOS,28103550,13,-2,0.361,3,0
Draymond Green,<span style='font-size:16px; color:royalblue;'>Draymond Green</span> <span style='font-size:12px; color:grey;'>GSW</span>,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203110.png,W,GSW,24026712,12,+16,0.6,0,0
Klay Thompson,<span style='font-size:16px; color:royalblue;'>Klay Thompson</span> <span style='font-size:12px; color:grey;'>GSW</span>,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202691.png,W,GSW,37980720,12,+4,0.3,0,0
Robert Williams,<span style='font-size:16px; color:royalblue;'>Robert Williams</span> <span style='font-size:12px; color:grey;'>BOS</span>,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629057.png,L,BOS,3661976,10,-1,0.563,0,0
Marcus Smart,<span style='font-size:16px; color:royalblue;'>Marcus Smart</span> <span style='font-size:12px; color:grey;'>BOS</span>,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203935.png,L,BOS,14339285,9,+7,0.375,0,0
Gary Payton,<span style='font-size:16px; color:royalblue;'>Gary Payton</span> <span style='font-size:12px; color:grey;'>GSW</span>,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627780.png,W,GSW,1939350,6,+18,0.436,0,0
Otto Porter,<span style='font-size:16px; color:royalblue;'>Otto Porter</span> <span style='font-size:12px; color:grey;'>GSW</span>,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203490.png,W,GSW,2389641,6,+3,1,0,0
Grant Williams,<span style='font-size:16px; color:royalblue;'>Grant Williams</span> <span style='font-size:12px; color:grey;'>BOS</span>,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629684.png,L,BOS,2617800,3,-18,0.615,0,0
Derrick White,<span style='font-size:16px; color:royalblue;'>Derrick White</span> <span style='font-size:12px; color:grey;'>BOS</span>,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628401.png,L,BOS,15178571,2,-26,0.167,3,0
Aaron Nesmith,<span style='font-size:16px; color:royalblue;'>Aaron Nesmith</span> <span style='font-size:12px; color:grey;'>BOS</span>,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630174.png,L,BOS,3631200,0,-2,NA,0,0
