player,rolling_avg_pts,rolling_avg_ts_percent,rolling_avg_mvp_calc,rolling_avg_plusminus,team,full_team,season_avg_ppg,season_ts_percent,season_avg_plusminus,player_mvp_calc_adj,ppg_differential,ppg_diff_rank,ts_differential,ts_diff_rank,plusminus_differential,plusminus_diff_rank,mvp_calc_differential,mvp_calc_diff_rank
Luca Vildoza,0.7,0.375,1.4,-1.7,NA,NA,NA,NA,NA,NA,NA,1st,NA,3rd,NA,1st,NA,1st
Obi Toppin,20,0.698,31.2,6.2,NYK,New York Knicks,9,0.614,2.3,14.1,11,2nd,0.084,82nd,3.9,44th,17.1,3rd
Drew Eubanks,17.8,0.697,17.7,-15.7,POR,Portland Trail Blazers,7.7,0.638,-4.6,10.2,10.1,3rd,0.059,118th,-11.1,601st,7.5,50th
Trendon Watford,16.4,0.567,19.3,-13.2,POR,Portland Trail Blazers,7.6,0.59,-7.3,7.05,8.8,4th,-0.023,375th,-5.9,557th,12.25,20th
Jalen Green,26.1,0.589,31.2,0.9,HOU,Houston Rockets,17.3,0.547,-7.7,17.8,8.8,5th,0.042,165th,8.6,2nd,13.4,13th
Damian Jones,16.6,0.766,22.9,-4.6,SAC,Sacramento Kings,8.1,0.701,-3.1,9.28,8.5,6th,0.065,108th,-1.5,407th,13.62,10th
Oshae Brissett,17.1,0.576,23,-4.6,IND,Indiana Pacers,9.1,0.53,-3.3,12.7,8,7th,0.046,149th,-1.3,392nd,10.3,27th
Davion Mitchell,19.5,0.521,30.4,-5.8,SAC,Sacramento Kings,11.5,0.488,-3.6,16.9,8,8th,0.033,184th,-2.2,449th,13.5,12th
Kevin Porter,23.5,0.592,36.6,-0.6,HOU,Houston Rockets,15.6,0.532,-4.6,20.7,7.9,9th,0.06,116th,4,41st,15.9,5th
Theo Maledon,14.8,0.572,25.6,4.2,OKC,Oklahoma City Thunder,7.1,0.5,-3.9,7.05,7.7,10th,0.072,90th,8.1,4th,18.55,2nd
Anfernee Simons,24.8,0.606,25.5,-8.5,POR,Portland Trail Blazers,17.3,0.583,-1.5,18.04,7.5,11th,0.023,209th,-7,576th,7.46,51st
Goga Bitadze,14.4,0.713,22.5,-3.1,IND,Indiana Pacers,7,0.595,-0.6,8.48,7.4,12th,0.118,49th,-2.5,469th,14.02,7th
Nikola Jokic,34.4,0.673,50.1,0.4,DEN,Denver Nuggets,27.1,0.661,6,47.8,7.3,13th,0.012,241st,-5.6,552nd,2.3,205th
De'Aaron Fox,30.2,0.583,43.4,0.3,SAC,Sacramento Kings,23.2,0.549,-3.3,26.4,7,14th,0.034,180th,3.6,50th,17,4th
Isaiah Roby,17,0.661,26.1,-2.6,OKC,Oklahoma City Thunder,10.1,0.607,-4.1,10.88,6.9,15th,0.054,124th,1.5,118th,15.22,6th
Bruce Brown,15.6,0.624,26.8,-1.2,BKN,Brooklyn Nets,9,0.575,-0.4,16.7,6.6,16th,0.049,142nd,-0.8,356th,10.1,29th
Darius Bazley,17.4,0.592,15.5,-13.8,OKC,Oklahoma City Thunder,10.8,0.516,-6.8,14.4,6.6,17th,0.076,87th,-7,574th,1.1,285th
Immanuel Quickley,17.5,0.541,33.1,6.2,NYK,New York Knicks,11.3,0.543,3.4,19.4,6.2,18th,-0.002,312nd,2.8,73rd,13.7,9th
Tre Mann,16.3,0.511,14.8,-13.2,OKC,Oklahoma City Thunder,10.4,0.501,-4.6,10.56,5.9,19th,0.01,245th,-8.6,590th,4.24,123rd
Jimmy Butler,27.2,0.572,41.7,2.7,MIA,Miami Heat,21.4,0.592,4.3,29.27,5.8,20th,-0.02,362nd,-1.6,418th,12.43,19th
Malik Monk,19.6,0.602,24.9,-1.9,LAL,Los Angeles Lakers,13.8,0.597,0.7,20.1,5.8,21st,0.005,259th,-2.6,473rd,4.8,108th
Aleksej Pokusevski,13.3,0.545,25.3,2.6,OKC,Oklahoma City Thunder,7.6,0.485,-0.7,11.97,5.7,22nd,0.06,117th,3.3,57th,13.33,14th
Keon Johnson,12.9,0.497,14.2,-12.2,POR,Portland Trail Blazers,7.2,0.455,-7.8,5.85,5.7,23rd,0.042,163rd,-4.4,529th,8.35,43rd
Ignas Brazdeikis,10.6,0.53,7.7,-12,ORL,Orlando Magic,5,0.52,-4.1,3.83,5.6,24th,0.01,247th,-7.9,584th,3.87,139th
Justise Winslow,11.2,0.431,21.8,1,POR,Portland Trail Blazers,5.7,0.479,0.6,8.78,5.5,25th,-0.048,441st,0.4,181st,13.02,16th
Patrick Williams,14.4,0.607,12.3,-13.5,CHI,Chicago Bulls,9,0.637,-3.3,8.55,5.4,26th,-0.03,401st,-10.2,600th,3.75,141st
Ben McLemore,15.4,0.683,14.6,-9.2,POR,Portland Trail Blazers,10.2,0.567,-5.5,9.5,5.2,27th,0.116,51st,-3.7,511st,5.1,91st
Dwight Howard,11.2,0.639,13.1,-7.3,LAL,Los Angeles Lakers,6.2,0.657,-2.1,8.98,5,28th,-0.018,357th,-5.2,548th,4.12,129th
Jalen Smith,14.2,0.604,19.3,-3.2,IND,Indiana Pacers,9.2,0.595,0.6,10.65,5,29th,0.009,249th,-3.8,518th,8.65,39th
Keldon Johnson,21.9,0.595,34,6.6,SAS,San Antonio Spurs,17,0.574,0.9,23.8,4.9,30th,0.021,215th,5.7,14th,10.2,28th
Deni Avdija,13,0.566,17.8,-5.9,WAS,Washington Wizards,8.4,0.536,-0.8,14.5,4.6,31st,0.03,191st,-5.1,544th,3.3,161st
Kentavious Caldwell-Pope,17.8,0.63,21.2,-1,WAS,Washington Wizards,13.2,0.567,-3,17.2,4.6,32nd,0.063,112nd,2,102nd,4,136th
Shai Gilgeous-Alexander,29,0.607,40.1,-6.7,OKC,Oklahoma City Thunder,24.5,0.558,-4.7,26.8,4.5,33rd,0.049,141st,-2,438th,13.3,15th
Tre Jones,10.5,0.645,22.4,2.7,SAS,San Antonio Spurs,6,0.545,0,12.6,4.5,34th,0.1,62nd,2.7,76th,9.8,30th
Killian Hayes,11.3,0.529,19.3,-5.4,DET,Detroit Pistons,6.9,0.461,-5.6,12.9,4.4,35th,0.068,98th,0.2,190th,6.4,65th
Josh Christopher,12.2,0.542,17.4,-3.1,HOU,Houston Rockets,7.9,0.534,-3.7,10.2,4.3,36th,0.008,252nd,0.6,167th,7.2,55th
Anthony Edwards,25.6,0.597,31.1,-3.3,MIN,Minnesota Timberwolves,21.3,0.561,2.6,30.9,4.3,37th,0.036,174th,-5.9,559th,0.2,370th
Wendell Carter,19.2,0.626,28.9,2,ORL,Orlando Magic,15,0.601,-2.2,21.16,4.2,38th,0.025,207th,4.2,36th,7.74,48th
Corey Kispert,12.2,0.632,17,0.6,WAS,Washington Wizards,8.2,0.586,0.5,12,4,39th,0.046,147th,0.1,198th,5,95th
Robert Covington,12.5,0.753,22.1,7.1,LAC,Los Angeles Clippers,8.5,0.571,0.5,17.4,4,40th,0.182,24th,6.6,10th,4.7,113rd
Bruno Fernando,6.9,0.664,9.8,0,HOU,Houston Rockets,2.9,0.671,-1.1,2.78,4,41st,-0.007,324th,1.1,143rd,7.02,58th
LeBron James,34.2,0.623,43.2,-5.7,LAL,Los Angeles Lakers,30.3,0.619,-2.1,33.76,3.9,42nd,0.004,262nd,-3.6,509th,9.44,32nd
Alec Burks,15.6,0.655,28.2,7.8,NYK,New York Knicks,11.7,0.559,1.5,20.4,3.9,43rd,0.096,66th,6.3,12th,7.8,47th
Devin Vassell,16.2,0.585,25.2,1.6,SAS,San Antonio Spurs,12.3,0.54,0.7,19.7,3.9,44th,0.045,151st,0.9,149th,5.5,78th
Luguentz Dort,21.1,0.569,24.6,-3.2,OKC,Oklahoma City Thunder,17.2,0.541,-5.8,14.18,3.9,45th,0.028,199th,2.6,78th,10.42,25th
De'Andre Hunter,17.2,0.569,17.3,-2.5,ATL,Atlanta Hawks,13.4,0.547,0.5,13.05,3.8,46th,0.022,210th,-3,494th,4.25,122nd
Josh Hart,18.7,0.542,21.1,-12.7,POR,Portland Trail Blazers,14.9,0.61,-3.7,17.1,3.8,47th,-0.068,473rd,-9,591st,4,137th
Josh Giddey,16.3,0.522,26.3,-3.6,OKC,Oklahoma City Thunder,12.5,0.478,-5.5,15.96,3.8,48th,0.044,156th,1.9,105th,10.34,26th
Vit Krejci,10,0.547,14.1,-8.8,OKC,Oklahoma City Thunder,6.2,0.529,-6,6.08,3.8,49th,0.018,221st,-2.8,485th,8.02,45th
Lindy Waters,11.7,0.629,18,2.4,OKC,Oklahoma City Thunder,8,0.562,-1.6,8.7,3.7,50th,0.067,101st,4,43rd,9.3,34th
Damian Lillard,27.7,0.576,32.3,-7.2,POR,Portland Trail Blazers,24,0.55,-1,25.58,3.7,51st,0.026,205th,-6.2,567th,6.72,61st
Russell Westbrook,22.2,0.591,30.1,-6.3,LAL,Los Angeles Lakers,18.5,0.512,-2.7,28.2,3.7,52nd,0.079,85th,-3.6,506th,1.9,226th
Donte DiVincenzo,12.6,0.548,22,1.9,SAC,Sacramento Kings,9,0.51,-1.8,10.88,3.6,53rd,0.038,169th,3.7,47th,11.12,23rd
Jalen Brunson,19.9,0.553,28.4,1.7,DAL,Dallas Mavericks,16.3,0.583,2.9,26.2,3.6,54th,-0.03,397th,-1.2,386th,2.2,211st
Moses Brown,7.9,0.76,9.2,-5.1,CLE,Cleveland Cavaliers,4.3,0.612,-1.2,4.35,3.6,55th,0.148,36th,-3.9,519th,4.85,104th
Marvin Bagley,14.9,0.595,18.4,-4.9,DET,Detroit Pistons,11.3,0.551,-2.8,11.25,3.6,56th,0.044,155th,-2.1,443rd,7.15,56th
Rui Hachimura,14.8,0.521,19.2,-1.4,WAS,Washington Wizards,11.3,0.579,-3,10.35,3.5,57th,-0.058,449th,1.6,114th,8.85,38th
Greg Brown,8.2,0.601,9.5,-8,POR,Portland Trail Blazers,4.7,0.517,-5,4.2,3.5,58th,0.084,81st,-3,493rd,5.3,85th
Pascal Siakam,26.3,0.569,40.3,-3.2,TOR,Toronto Raptors,22.8,0.565,3.7,36.7,3.5,59th,0.004,260th,-6.9,572nd,3.6,147th
Alperen Sengun,13,0.573,20,-4.7,HOU,Houston Rockets,9.6,0.552,-4.3,14.5,3.4,60th,0.021,212nd,-0.4,333rd,5.5,79th
Danny Green,9,0.726,12.3,0,PHI,Philadelphia 76ers,5.9,0.561,1.3,10.4,3.1,61st,0.165,29th,-1.3,389th,1.9,224th
Isaiah Jackson,11.4,0.598,18.1,-0.5,IND,Indiana Pacers,8.3,0.607,-1.1,9.6,3.1,62nd,-0.009,328th,0.6,165th,8.5,41st
Julius Randle,23.1,0.484,36.4,5.9,NYK,New York Knicks,20.1,0.509,-2.3,29.1,3,63rd,-0.025,384th,8.2,3rd,7.3,53rd
Kristaps Porzingis,23.2,0.586,36.4,1,WAS,Washington Wizards,20.2,0.577,0.6,22.8,3,64th,0.009,250th,0.4,183rd,13.6,11th
CJ Elleby,8.7,0.534,9.4,-13.9,POR,Portland Trail Blazers,5.8,0.491,-6,6.3,2.9,65th,0.043,160th,-7.9,583rd,3.1,171st
Josh Richardson,13.1,0.626,21.5,4.1,SAS,San Antonio Spurs,10.2,0.573,2.1,16.17,2.9,66th,0.053,129th,2,99th,5.33,83rd
Olivier Sarr,9.9,0.809,16.6,4,OKC,Oklahoma City Thunder,7,0.672,-1.3,7.58,2.9,67th,0.137,41st,5.3,18th,9.02,35th
Austin Reaves,10.2,0.497,17.6,-2.9,LAL,Los Angeles Lakers,7.3,0.6,0.9,11.34,2.9,68th,-0.103,529th,-3.8,517th,6.26,67th
Aaron Wiggins,11.2,0.497,9.9,-8.4,OKC,Oklahoma City Thunder,8.3,0.556,-4.7,7.28,2.9,69th,-0.059,454th,-3.7,515th,2.62,195th
RJ Barrett,22.8,0.502,28.2,-0.7,NYK,New York Knicks,20,0.511,-2.1,24.8,2.8,70th,-0.009,327th,1.4,127th,3.4,154th
Zach Collins,10.6,0.665,19.9,3.4,SAS,San Antonio Spurs,7.8,0.594,1.4,10.95,2.8,71st,0.071,93rd,2,101st,8.95,36th
Rodney McGruder,8.2,0.522,10.5,-3.7,DET,Detroit Pistons,5.4,0.575,-1.1,5.78,2.8,72nd,-0.053,445th,-2.6,472nd,4.72,111st
Lamar Stevens,8.9,0.556,13.3,1.4,CLE,Cleveland Cavaliers,6.1,0.544,-0.6,8.18,2.8,73rd,0.012,240th,2,100th,5.12,90th
Nassir Little,12.5,0.551,20.7,4.3,POR,Portland Trail Blazers,9.8,0.575,-0.5,11.78,2.7,74th,-0.024,378th,4.8,24th,8.92,37th
Jose Alvarado,8.8,0.614,10.6,-5.2,NOP,New Orleans Pelicans,6.1,0.52,2.6,10.94,2.7,75th,0.094,67th,-7.8,582nd,-0.34,414th
Anthony Gill,6.7,0.744,10.4,0.4,WAS,Washington Wizards,4.1,0.682,1.4,5.1,2.6,76th,0.062,115th,-1,370th,5.3,86th
Kyle Kuzma,19.7,0.527,26,-6.6,WAS,Washington Wizards,17.1,0.547,-4.2,23.8,2.6,77th,-0.02,361st,-2.4,463rd,2.2,210th
LaMelo Ball,22.7,0.584,38.7,2.7,CHA,Charlotte Hornets,20.1,0.554,1.3,34.5,2.6,78th,0.03,192nd,1.4,125th,4.2,124th
Jordan McLaughlin,6.4,0.792,13.6,0.6,MIN,Minnesota Timberwolves,3.8,0.535,0.6,9.57,2.6,79th,0.257,14th,0,213rd,4.03,133rd
Cade Cunningham,19.9,0.516,28.7,-3.1,DET,Detroit Pistons,17.4,0.504,-4.3,23.71,2.5,80th,0.012,238th,1.2,138th,4.99,96th
Danilo Gallinari,14.2,0.554,15.7,-2.1,ATL,Atlanta Hawks,11.7,0.579,1.6,17.5,2.5,81st,-0.025,381st,-3.7,512nd,-1.8,480th
Chris Boucher,11.9,0.707,18.2,1.1,TOR,Toronto Raptors,9.4,0.571,2.4,16.4,2.5,82nd,0.136,43rd,-1.3,398th,1.8,232nd
Ish Smith,8.8,0.515,17.8,-4.5,WAS,Washington Wizards,6.3,0.466,-2.4,11.96,2.5,83rd,0.049,144th,-2.1,442nd,5.84,74th
Ish Wainright,4.8,0.529,10,4.3,PHX,Phoenix Suns,2.4,0.494,0.9,3.53,2.4,84th,0.035,177th,3.4,52nd,6.47,63rd
Luka Doncic,30.8,0.558,45.9,0.9,DAL,Dallas Mavericks,28.4,0.571,2.2,43.02,2.4,85th,-0.013,338th,-1.3,395th,2.88,181st
Brandon Ingram,25.1,0.573,34.2,2.2,NOP,New Orleans Pelicans,22.7,0.554,2.2,25.82,2.4,86th,0.019,218th,0,203rd,8.38,42nd
Terence Davis,12.8,0.569,19.9,1.6,SAC,Sacramento Kings,10.4,0.543,2,11.78,2.4,87th,0.026,202nd,-0.4,336th,8.12,44th
Isaiah Livers,8.8,0.665,14.6,0.9,DET,Detroit Pistons,6.4,0.629,-0.5,7.73,2.4,88th,0.036,173rd,1.4,121st,6.87,59th
Jericho Sims,4.6,0.727,14.9,6.5,NYK,New York Knicks,2.2,0.674,1.9,5.18,2.4,89th,0.053,132nd,4.6,29th,9.72,31st
Lauri Markkanen,17.1,0.648,22.5,2,CLE,Cleveland Cavaliers,14.8,0.582,2.8,19.98,2.3,90th,0.066,105th,-0.8,353rd,2.52,197th
Buddy Hield,17.9,0.584,22.5,-7.1,IND,Indiana Pacers,15.6,0.549,-2,20.6,2.3,91st,0.035,176th,-5.1,547th,1.9,225th
KZ Okpala,6,0.574,11.7,3.4,MIA,Miami Heat,3.7,0.521,0.3,4.88,2.3,92nd,0.053,131st,3.1,65th,6.82,60th
Dejounte Murray,23.4,0.559,39.3,0.4,SAS,San Antonio Spurs,21.1,0.533,0.8,40.3,2.3,93rd,0.026,206th,-0.4,334th,-1,445th
Mohamed Bamba,12.9,0.612,21.6,-1.4,ORL,Orlando Magic,10.6,0.581,-5.3,16.7,2.3,94th,0.031,189th,3.9,45th,4.9,102nd
Terry Taylor,11.9,0.633,11.3,-10.1,IND,Indiana Pacers,9.6,0.659,-3.5,9.53,2.3,95th,-0.026,386th,-6.6,570th,1.77,236th
Moritz Wagner,11.3,0.59,15.5,-3.5,ORL,Orlando Magic,9,0.623,-2.4,10.72,2.3,96th,-0.033,411st,-1.1,378th,4.78,110th
Udoka Azubuike,6.9,0.702,11.8,3.1,UTA,Utah Jazz,4.7,0.743,0,5.33,2.2,97th,-0.041,423rd,3.1,62nd,6.47,64th
Tyrese Haliburton,17.5,0.634,34.4,-4.4,IND,Indiana Pacers,15.3,0.596,-4.2,28.3,2.2,98th,0.038,172nd,-0.2,322nd,6.1,69th
