date,day,proper_time,avg_team_rank,start_time,home_team,away_team,home_team_odds,away_team_odds
2022-03-05,Saturday ,2022-03-05T05:00:00Z,17,5:00 PM,Dallas Mavericks,Sacramento Kings,Dallas Mavericks (-350),Sacramento Kings (+270)
2022-03-05,Saturday ,2022-03-05T07:00:00Z,21,7:00 PM,Charlotte Hornets,San Antonio Spurs,Charlotte Hornets (-170),San Antonio Spurs (+150)
2022-03-05,Saturday ,2022-03-05T08:00:00Z,16,8:00 PM,Memphis Grizzlies,Orlando Magic,Memphis Grizzlies (-1500),Orlando Magic (+850)
2022-03-05,Saturday ,2022-03-05T08:00:00Z,5,8:00 PM,Miami Heat,Philadelphia 76ers,Miami Heat (-115),Philadelphia 76ers (-105)
2022-03-05,Saturday ,2022-03-05T08:00:00Z,17,8:00 PM,Minnesota Timberwolves,Portland Trail Blazers,Minnesota Timberwolves (-900),Portland Trail Blazers (+600)
2022-03-05,Saturday ,2022-03-05T08:30:00Z,11,8:30 PM,Los Angeles Lakers,Golden State Warriors,Los Angeles Lakers (+205),Golden State Warriors (-255)
2022-03-06,Sunday   ,2022-03-06T01:00:00Z,13,1:00 PM,Boston Celtics,Brooklyn Nets,Boston Celtics,Brooklyn Nets
2022-03-06,Sunday   ,2022-03-06T03:30:00Z,4,3:30 PM,Milwaukee Bucks,Phoenix Suns,Milwaukee Bucks,Phoenix Suns
2022-03-06,Sunday   ,2022-03-06T06:00:00Z,22,6:00 PM,Washington Wizards,Indiana Pacers,Washington Wizards,Indiana Pacers
2022-03-06,Sunday   ,2022-03-06T06:00:00Z,13,6:00 PM,Cleveland Cavaliers,Toronto Raptors,Cleveland Cavaliers,Toronto Raptors
2022-03-06,Sunday   ,2022-03-06T07:00:00Z,16,7:00 PM,Oklahoma City Thunder,Utah Jazz,Oklahoma City Thunder,Utah Jazz
2022-03-06,Sunday   ,2022-03-06T07:00:00Z,16,7:00 PM,Houston Rockets,Memphis Grizzlies,Houston Rockets,Memphis Grizzlies
2022-03-06,Sunday   ,2022-03-06T07:30:00Z,19,7:30 PM,Los Angeles Clippers,New York Knicks,Los Angeles Clippers,New York Knicks
2022-03-06,Sunday   ,2022-03-06T10:00:00Z,15,10:00 PM,Denver Nuggets,New Orleans Pelicans,Denver Nuggets,New Orleans Pelicans
2022-03-07,Monday   ,2022-03-07T07:00:00Z,22,7:00 PM,Detroit Pistons,Atlanta Hawks,Detroit Pistons,Atlanta Hawks
