player,team,full_team,season_avg_ppg,playoffs_avg_ppg,season_ts_percent,playoffs_ts_percent,games_played,playoffs_games_played,ppg_rank,top20_scorers,player_mvp_calc_adj,games_missed,penalized_games_missed,top5_candidates,mvp_rank
Nikola Jokic,DEN,Denver Nuggets,27.1,31,0.661,0.643,74,5,10,Top 20 Scorers,47.8,8,0,Top 5 MVP Candidate,1
Giannis Antetokounmpo,MIL,Milwaukee Bucks,29.9,31.7,0.633,0.552,67,12,4,Top 20 Scorers,47.3,15,0,Top 5 MVP Candidate,2
Joel Embiid,PHI,Philadelphia 76ers,30.6,23.6,0.616,0.59,68,10,1,Top 20 Scorers,45.9,14,0,Top 5 MVP Candidate,3
Luka Doncic,DAL,Dallas Mavericks,28.4,31.7,0.571,0.577,65,15,5,Top 20 Scorers,43.02,17,1,Top 5 MVP Candidate,4
Trae Young,ATL,Atlanta Hawks,28.4,15.4,0.603,0.461,76,5,6,Top 20 Scorers,42,6,0,Top 5 MVP Candidate,5
Jayson Tatum,BOS,Boston Celtics,26.9,25.6,0.578,0.562,76,24,11,Top 20 Scorers,40.8,6,0,Other,6
Dejounte Murray,SAS,San Antonio Spurs,21.1,NA,0.533,NA,68,NA,31,Other,40.3,14,0,Other,7
Devin Booker,PHX,Phoenix Suns,26.8,23.3,0.576,0.587,68,10,12,Top 20 Scorers,39.5,14,0,Other,8
James Harden,PHI,Philadelphia 76ers,22,18.6,0.583,0.584,65,12,27,Other,39,17,1,Other,9
Stephen Curry,GSW,Golden State Warriors,25.5,27.4,0.602,0.606,64,22,14,Top 20 Scorers,38.3,18,2,Other,10
DeMar DeRozan,CHI,Chicago Bulls,27.9,20.8,0.59,0.481,76,5,7,Top 20 Scorers,37.2,6,0,Other,11
Donovan Mitchell,UTA,Utah Jazz,25.9,25.5,0.572,0.505,67,6,13,Top 20 Scorers,36.8,15,0,Other,12
Chris Paul,PHX,Phoenix Suns,14.7,17.5,0.581,0.666,65,13,97,Other,36.75,17,1,Other,13
Pascal Siakam,TOR,Toronto Raptors,22.8,22.8,0.565,0.558,68,6,24,Other,36.7,14,0,Other,14
