team,team_acronym,w,l,ortg,drtg,nrtg,team_logo,nrtg_rank,drtg_rank,ortg_rank
Phoenix Suns,PHX,62,16,115,107.2,7.8,logos/phx.png,1st,3rd,3rd
Boston Celtics,BOS,49,30,114,106.8,7.2,logos/bos.png,2nd,1st,8th
Memphis Grizzlies,MEM,55,23,114.8,108.6,6.2,logos/mem.png,3rd,4th,5th
Utah Jazz,UTA,46,32,116.6,111,5.6,logos/uta.png,4th,12th,1st
Golden State Warriors,GSW,50,29,112.2,106.9,5.3,logos/gsw.png,5th,2nd,17th
Miami Heat,MIA,51,28,113.3,108.7,4.6,logos/mia.png,6th,5th,11th
Milwaukee Bucks,MIL,48,30,114.8,111.8,3,logos/mil.png,7th,14th,4th
Minnesota Timberwolves,MIN,45,34,114.3,111.4,2.9,logos/min.png,8th,13th,7th
Denver Nuggets,DEN,47,32,114.5,111.9,2.6,logos/den.png,9th,15th,6th
Dallas Mavericks,DAL,49,30,112,109.5,2.5,logos/dal.png,10th,7th,18th
Toronto Raptors,TOR,45,33,112.8,110.4,2.4,logos/tor.png,11th,8th,14th
Philadelphia 76ers,PHI,48,30,112.9,110.5,2.4,logos/phi.png,12th,10th,13th
Cleveland Cavaliers,CLE,43,36,111.5,109.2,2.3,logos/cle.png,13th,6th,19th
Atlanta Hawks,ATL,41,37,116.3,114.9,1.4,logos/atl.png,14th,26th,2nd
Chicago Bulls,CHI,45,33,113.4,113,0.4,logos/chi.png,15th,21st,10th
Brooklyn Nets,BKN,40,38,113.2,112.9,0.3,logos/bkn.png,16th,20th,12th
San Antonio Spurs,SAS,33,45,112.4,112.2,0.2,logos/sas.png,17th,17th,15th
Charlotte Hornets,CHA,40,38,113.6,113.5,0.1,logos/cha.png,18th,24th,9th
New York Knicks,NYK,35,44,110.5,110.9,-0.4,logos/nyk.png,19th,11th,22nd
Los Angeles Clippers,LAC,39,40,109.6,110.5,-0.9,logos/lac.png,20th,9th,25th
New Orleans Pelicans,NOP,34,44,111.5,112.6,-1.1,logos/nop.png,21st,19th,20th
Los Angeles Lakers,LAL,31,47,110.1,113.2,-3.1,logos/lal.png,22nd,22nd,23rd
Washington Wizards,WAS,34,44,111.2,114.4,-3.2,logos/was.png,23rd,25th,21st
Indiana Pacers,IND,25,54,112.3,115.6,-3.3,logos/ind.png,24th,28th,16th
Sacramento Kings,SAC,29,50,109.9,115.2,-5.3,logos/sac.png,25th,27th,24th
Oklahoma City Thunder,OKC,23,55,104.8,112.1,-7.3,logos/okc.png,26th,16th,29th
Detroit Pistons,DET,23,56,106,113.3,-7.3,logos/det.png,27th,23rd,28th
Portland Trail Blazers,POR,27,51,108.7,116.6,-7.9,logos/por.png,28th,30th,26th
Orlando Magic,ORL,20,59,104.1,112.4,-8.3,logos/orl.png,29th,18th,30th
Houston Rockets,HOU,20,59,108.2,116.5,-8.3,logos/hou.png,30th,29th,27th
