scrape_date,username,tweet,url,likes_count,retweets_count,replies_count,compound,neg,neu,pos
2022-06-03,kdfeelsofficial,Good Evening 💐👏🌻  ready nba 🙈👩‍💻🤸,https://twitter.com/KDFeelsOfficial/status/1532664184760315905,71,1,19,0.6597,0,0.426,0.574
2022-06-03,marksclothes,-CONCEPT SPORT- Los Angeles Lakers 2020 NBA Finals Champions Ultimate Flannel Pants Purple/Black. approx.$39.99   #MarkTuan #GOT7  #갓세븐   @marktuan @GOT7 @dnaofficial  #MarksClothes  https://t.co/ynXNnRyk97,https://twitter.com/Marksclothes/status/1532672759104385024,52,80,0,0.5267,0,0.861,0.139
2022-06-03,chris_smoove,Horford 6 3s! Celtics Steal Game 1 Despite Curry's 21 1st QTR! 2022 NBA Finals Celtics vs Warriors  https://t.co/kQKFFGhAxV via  @YouTube,https://twitter.com/Chris_Smoove/status/1532650952334925826,25,0,0,-0.5837,0.174,0.826,0
2022-06-03,oldskoolbball2,Michael Jordan versus Magic Johnson is the biggest NBA Finals matchup ever.   Don’t @ me.  https://t.co/2i4UmDgWPE,https://twitter.com/Oldskoolbball2/status/1532654824977797121,23,3,1,0,0,1,0
2022-06-03,1dailynba,• 4K | 2022 NBA FINALS .  • GAME 1 | Boston Celtics .  https://t.co/cAIgG2ZY1O,https://twitter.com/1DailyNBA/status/1532658507018805248,17,2,2,0,0,1,0
2022-06-03,themisfitbunny0,"So I saw some libtard a$$hat tweet about how us conservatives don’t support fun stuff like NFL, MLB, NBA blah blah blah. We don’t support woke. It’s called integrity and actions aligning with our words. Try it sometime you spineless jellyfish. Our fun is mocking you anyway 😂😂😂",https://twitter.com/themisfitbunny0/status/1532652618123714562,17,0,3,0.9042,0.113,0.607,0.28
2022-06-03,takingthepoint5,Recap from yesterday:  NBA Celtics ML +145 (1u) ✅ 1.45u Celtics -2.5 + 165(.3u) ✅.5u Celtics -3.5 +185 (.3u) ✅ .55u Celtics -4.5 +210 (.3u) ✅ .65u  MLB CIN ML &amp; SF/MIA U7 &amp; LAD -1.5 Parlay (.6u) ✅ 3.1u SF/MIA U7 -120 (1.2u) ✅ 1u LAD -1.5 +120 (.8u) ✅ 1u  💰: 8.25u LFG.,https://twitter.com/TakingThePoint5/status/1532667670658678786,16,0,4,0,0,1,0
2022-06-03,ajc,Ex-Hawk Al Horford helps Celtics stun Warriors in Game 1 of NBA Finals  https://t.co/GEjwaLqZaa,https://twitter.com/ajc/status/1532652080896294913,14,1,1,0.3818,0,0.822,0.178
2022-06-03,balleralert,LeBron James Is Officially The First Active NBA Player To Become A Billionaire  https://t.co/nvkacVEgFk  https://t.co/1Fhj3o3e4s,https://twitter.com/balleralert/status/1532655867304222721,14,3,0,0.4019,0,0.828,0.172
2022-06-03,boston25,Celtics take Game 1 of the NBA Finals  https://t.co/SDrP651YHA,https://twitter.com/boston25/status/1532667168319586304,14,0,1,0,0,1,0
