Team,nameTeam,primary_color,secondary_color,third_color,urlThumbnailTeam
WAS,Washington Wizards,#002b5c, #e31837,NA,https://stats.nba.com/media/img/teams/logos/WAS_logo.svg
UTA,Utah Jazz,#002b5c, #f9a01b,NA,https://stats.nba.com/media/img/teams/logos/UTA_logo.svg
TOR,Toronto Raptors,#ce1141, #061922,NA,https://stats.nba.com/media/img/teams/logos/TOR_logo.svg
SAS,San Antonio Spurs,#061922, #bac3c9,NA,https://stats.nba.com/media/img/teams/logos/SAS_logo.svg
SAC,Sacramento Kings,#724c9f, #8e9090,NA,https://stats.nba.com/media/img/teams/logos/SAC_logo.svg
POR,Portland Trail Blazers,#061922, #e03a3e,NA,https://stats.nba.com/media/img/teams/logos/POR_logo.svg
PHX,Phoenix Suns,#e56020, #1d1160,NA,https://stats.nba.com/media/img/teams/logos/PHX_logo.svg
PHI,Philadelphia 76ers,#ed174c, #006bb6,NA,https://stats.nba.com/media/img/teams/logos/PHI_logo.svg
ORL,Orlando Magic,#007dc5, #c4ced3,NA,https://stats.nba.com/media/img/teams/logos/ORL_logo.svg
OKC,Oklahoma City Thunder,#007dc3, #F05133,NA,https://stats.nba.com/media/img/teams/logos/OKC_logo.svg
NYK,New York Knicks,#006bb6, #f58426,NA,https://stats.nba.com/media/img/teams/logos/NYK_logo.svg
NOP,New Orleans Pelicans,#002b5c, #e31837,NA,https://stats.nba.com/media/img/teams/logos/NOP_logo.svg
MIN,Minnesota Timberwolves,#005083, #00a94f,NA,https://stats.nba.com/media/img/teams/logos/MIN_logo.svg
MIL,Milwaukee Bucks,#00471b, #f0ebd2,NA,https://stats.nba.com/media/img/teams/logos/MIL_logo.svg
MIA,Miami Heat,#98002e, #f9a01b,NA,https://stats.nba.com/media/img/teams/logos/MIA_logo.svg
MEM,Memphis Grizzlies,#7399c6, #bed4e9, #fdb927,https://stats.nba.com/media/img/teams/logos/MEM_logo.svg
LAL,Los Angeles Lakers,#fdb927, #552582,NA,https://stats.nba.com/media/img/teams/logos/LAL_logo.svg
LAC,Los Angeles Clippers,#ed174c, #006bb6,NA,https://stats.nba.com/media/img/teams/logos/LAC_logo.svg
IND,Indiana Pacers,#ffc633, #00275d, #bec0c2,https://stats.nba.com/media/img/teams/logos/IND_logo.svg
HOU,Houston Rockets,#ce1141, #c4ced3, #061922,https://stats.nba.com/media/img/teams/logos/HOU_logo.svg
GSW,Golden State Warriors,#fdb927, #006bb6,NA,https://stats.nba.com/media/img/teams/logos/GSW_logo.svg
DET,Detroit Pistons,#006bb6, #ed174c, #0f586c,https://stats.nba.com/media/img/teams/logos/DET_logo.svg
DEN,Denver Nuggets,#4d90cd, #fdb927,NA,https://stats.nba.com/media/img/teams/logos/DEN_logo.svg
DAL,Dallas Mavericks,#0064b1, #c4ced3, #061922,https://stats.nba.com/media/img/teams/logos/DAL_logo.svg
CLE,Cleveland Cavaliers,#860038, #fdbb30, #002d62,https://stats.nba.com/media/img/teams/logos/CLE_logo.svg
CHI,Chicago Bulls,#ce1141, #061922,NA,https://stats.nba.com/media/img/teams/logos/CHI_logo.svg
CHA,Charlotte Hornets,#1d1160, #008ca8, #a1a1a4,https://stats.nba.com/media/img/teams/logos/CHA_logo.svg
BKN,Brooklyn Nets,#061922, #061922, #bb9753,https://stats.nba.com/media/img/teams/logos/BKN_logo.svg
BOS,Boston Celtics,#008348, #061922, #bb9753,https://stats.nba.com/media/img/teams/logos/BOS_logo.svg
ATL,Atlanta Hawks,#e13a3e, #c4d600, #061922,https://stats.nba.com/media/img/teams/logos/ATL_logo.svg
