Team,Age,W,L,ORTG,DRTG,NRTG,Pace
UTA,28.5,52,20,117.6,108.3,9.3,98.5
LAC,28.8,47,25,117.6,111.2,6.4,96.9
PHX,26.6,51,21,117.2,111.3,5.9,97.2
MIL,28.1,46,26,117.2,111.4,5.8,102.2
PHI,27.1,49,23,113.2,107.6,5.6,99.5
DEN,26.1,47,25,117.1,112.1,5,97.1
BKN,28.2,48,24,118.3,113.8,4.5,99.5
LAL,28.2,42,30,109.9,107.1,2.8,98.7
DAL,26.3,42,30,115.4,113,2.4,97.3
ATL,25.4,41,31,115.7,113.3,2.4,97.6
NYK,25.6,41,31,110.6,108.2,2.4,95.9
POR,27.4,42,30,117.8,116,1.8,98.4
BOS,25.1,36,36,114,112.5,1.5,98.3
GSW,26.7,39,33,111.1,110.1,1,102.2
MEM,24.2,38,34,112,111,1,100.4
MIA,27.4,40,32,111.2,111.2,0,96.6
IND,26.5,34,38,112.4,112.4,0,101.6
NOP,24.8,31,41,113.5,113.8,-0.3,100.1
TOR,26.6,27,45,112,112.5,-0.5,99.2
CHI,25.6,31,41,111.1,112,-0.9,99
SAS,26.2,33,39,111,112.8,-1.8,98.9
WAS,26.6,34,38,111.2,113,-1.8,104.1
CHA,24.6,33,39,110.9,112.8,-1.9,98.3
SAC,25.6,31,41,113.6,117.2,-3.6,100
DET,24.5,20,52,108,112.5,-4.5,97.9
MIN,23.2,23,49,109.5,115,-5.5,101.6
HOU,26.5,17,55,107.1,114.9,-7.8,101.4
CLE,24.0,22,50,105.8,114.4,-8.6,97.3
ORL,25.6,21,51,105.1,114.5,-9.4,98.7
OKC,22.8,22,50,103.5,114,-10.5,101
