index,home_team,away_team,proper_date,home_team_rank,home_days_rest,home_team_avg_pts_scored,home_team_avg_pts_scored_opp,home_team_win_pct,home_team_win_pct_last10,home_is_top_players,away_team_rank,away_days_rest,away_team_avg_pts_scored,away_team_avg_pts_scored_opp,away_team_win_pct,away_team_win_pct_last10,away_is_top_players,home_team_predicted_win_pct,away_team_predicted_win_pct
1,Detroit Pistons,Chicago Bulls,2022-03-09,28,1,103.5,112.5,0.277,0.6,2,10,1,112.4,111,0.6,0.5,2,0.219,0.781
11,Los Angeles Clippers,Washington Wizards,2022-03-09,15,0,106.8,107.6,0.507,0.7,1,19,2,108.1,110.7,0.46,0.5,1,0.54,0.46
7,Dallas Mavericks,New York Knicks,2022-03-09,8,1,107.1,103.7,0.615,0.8,1,22,1,105.8,107.3,0.415,0.3,2,0.692,0.308
4,New Orleans Pelicans,Orlando Magic,2022-03-09,21,0,107.8,109.5,0.415,0.5,1,30,0,103.7,111.8,0.242,0.3,2,0.614,0.386
5,Houston Rockets,Los Angeles Lakers,2022-03-09,29,1,108.6,117.9,0.246,0.1,1,20,1,110.6,112.8,0.438,0.2,0,0.482,0.518
2,Miami Heat,Phoenix Suns,2022-03-09,3,1,109.7,104.6,0.667,0.8,2,1,0,113.7,106.1,0.8,0.7,0,0.725,0.275
10,Sacramento Kings,Denver Nuggets,2022-03-09,25,1,110.2,115.3,0.358,0.3,2,9,1,111.3,108.3,0.6,0.9,2,0.269,0.731
8,San Antonio Spurs,Toronto Raptors,2022-03-09,24,1,112.8,112.9,0.385,0.5,2,14,2,108.3,107.3,0.531,0.3,2,0.369,0.631
9,Utah Jazz,Portland Trail Blazers,2022-03-09,5,1,113.6,107.6,0.625,0.7,2,23,1,107.2,113.2,0.391,0.4,0,0.903,0.097
0,Charlotte Hornets,Boston Celtics,2022-03-09,17,0,114.4,114.8,0.485,0.4,2,11,2,109.6,104.1,0.591,0.8,2,0.369,0.631
6,Minnesota Timberwolves,Oklahoma City Thunder,2022-03-09,13,1,114.4,111.8,0.561,0.8,1,27,0,102.3,109.8,0.308,0.3,1,0.805,0.195
3,Milwaukee Bucks,Atlanta Hawks,2022-03-09,7,0,114.5,110.4,0.621,0.6,2,18,1,112.5,111.8,0.484,0.5,2,0.68,0.32
1,Philadelphia 76ers,Brooklyn Nets,2022-03-10,7,2,108.5,106.1,0.625,0.8,2,16,1,111.1,112,0.5,0.4,2,0.696,0.304
0,Denver Nuggets,Golden State Warriors,2022-03-10,8,0,111.2,108.2,0.606,0.9,2,3,1,111.2,104.9,0.667,0.3,1,0.51,0.49
7,Orlando Magic,Minnesota Timberwolves,2022-03-11,30,1,103.8,111.6,0.254,0.4,2,13,1,114.7,111.6,0.567,0.8,1,0.341,0.659
6,New Orleans Pelicans,Charlotte Hornets,2022-03-11,22,1,107.7,109.4,0.409,0.5,0,17,1,114.2,114.9,0.478,0.3,2,0.321,0.679
2,Houston Rockets,Dallas Mavericks,2022-03-11,29,1,109,118.1,0.258,0.2,1,9,1,106.7,103.8,0.606,0.7,1,0.226,0.774
5,Miami Heat,Cleveland Cavaliers,2022-03-11,4,1,109.4,104.7,0.657,0.7,1,12,2,106.9,103.5,0.585,0.4,1,0.659,0.341
1,Boston Celtics,Detroit Pistons,2022-03-11,11,1,109.7,104,0.597,0.8,2,28,1,103.6,112.5,0.273,0.6,2,0.804,0.196
3,Los Angeles Lakers,Washington Wizards,2022-03-11,20,1,110.9,113.2,0.431,0.2,1,19,1,108.1,110.8,0.453,0.4,1,0.543,0.457
0,Atlanta Hawks,Los Angeles Clippers,2022-03-11,18,1,112.5,111.9,0.477,0.5,2,15,1,106.9,107.6,0.515,0.7,1,0.602,0.398
9,San Antonio Spurs,Utah Jazz,2022-03-11,24,1,112.7,113,0.379,0.4,2,5,1,113.7,107.3,0.631,0.7,2,0.269,0.731
8,Phoenix Suns,Toronto Raptors,2022-03-11,1,1,113.7,105.8,0.803,0.7,1,14,1,108.4,107.2,0.538,0.4,2,0.689,0.311
4,Memphis Grizzlies,New York Knicks,2022-03-11,2,2,114.2,109.3,0.672,0.6,1,21,1,105.8,106.8,0.424,0.3,2,0.781,0.219
6,Portland Trail Blazers,Washington Wizards,2022-03-12,24,2,106.9,113.4,0.385,0.4,0,19,0,108.1,110.9,0.446,0.4,1,0.452,0.548
2,Miami Heat,Minnesota Timberwolves,2022-03-12,4,0,109.5,104.7,0.662,0.8,2,13,0,114.6,111.7,0.559,0.7,2,0.675,0.325
5,Denver Nuggets,Toronto Raptors,2022-03-12,11,1,111,108.2,0.597,0.8,2,14,0,108.5,107.3,0.545,0.5,2,0.628,0.372
3,Golden State Warriors,Milwaukee Bucks,2022-03-12,3,1,111.2,104.9,0.672,0.3,1,5,2,114.6,110.5,0.627,0.7,2,0.461,0.539
0,Chicago Bulls,Cleveland Cavaliers,2022-03-12,9,2,112.5,111,0.606,0.5,2,12,0,106.9,103.7,0.576,0.3,1,0.738,0.262
1,San Antonio Spurs,Indiana Pacers,2022-03-12,23,0,112.6,112.9,0.388,0.4,2,26,3,110.3,112.8,0.328,0.3,1,0.612,0.388
4,Utah Jazz,Sacramento Kings,2022-03-12,6,0,113.6,107.2,0.621,0.6,2,25,2,110,115.2,0.353,0.2,2,0.769,0.231
5,Oklahoma City Thunder,Memphis Grizzlies,2022-03-13,27,3,102.3,110.2,0.303,0.3,1,3,1,114.3,109.3,0.676,0.6,1,0.232,0.768
3,Detroit Pistons,Los Angeles Clippers,2022-03-13,28,1,103.6,112.5,0.269,0.6,2,15,1,106.9,107.7,0.507,0.6,1,0.378,0.622
6,Orlando Magic,Philadelphia 76ers,2022-03-13,29,1,104,111.6,0.265,0.5,2,7,2,108.4,106.4,0.615,0.7,2,0.165,0.835
4,New Orleans Pelicans,Houston Rockets,2022-03-13,22,1,107.9,109.9,0.403,0.4,0,30,1,108.9,118,0.254,0.2,2,0.525,0.475
1,Boston Celtics,Dallas Mavericks,2022-03-13,10,1,109.7,104,0.603,0.8,2,8,1,106.8,103.7,0.612,0.8,1,0.634,0.366
2,Brooklyn Nets,New York Knicks,2022-03-13,16,2,111.4,111.8,0.507,0.4,1,21,1,105.9,107,0.418,0.3,2,0.588,0.412
0,Atlanta Hawks,Indiana Pacers,2022-03-13,17,1,112.5,111.8,0.485,0.6,1,26,0,110.4,112.7,0.338,0.4,1,0.753,0.247
7,Phoenix Suns,Los Angeles Lakers,2022-03-13,1,1,113.6,106,0.791,0.6,1,19,1,111.1,113.2,0.439,0.3,0,0.876,0.124
3,Oklahoma City Thunder,Charlotte Hornets,2022-03-14,27,0,102.6,110.4,0.299,0.2,1,18,2,114.6,114.9,0.485,0.4,2,0.23,0.77
0,Cleveland Cavaliers,Los Angeles Clippers,2022-03-14,12,1,106.7,103.7,0.567,0.3,1,16,0,106.9,107.6,0.514,0.7,1,0.677,0.323
2,Philadelphia 76ers,Denver Nuggets,2022-03-14,6,0,108.5,106.5,0.621,0.7,2,11,1,111.1,108.5,0.588,0.7,1,0.654,0.346
5,Sacramento Kings,Chicago Bulls,2022-03-14,25,1,110.2,115.5,0.348,0.2,2,9,1,112.3,110.7,0.612,0.5,1,0.354,0.646
8,Los Angeles Lakers,Toronto Raptors,2022-03-14,20,0,111.1,113.6,0.433,0.3,0,14,1,108.8,107.4,0.552,0.5,1,0.352,0.648
7,Golden State Warriors,Washington Wizards,2022-03-14,3,1,111.4,104.9,0.676,0.4,1,19,1,108.3,111.2,0.439,0.3,1,0.799,0.201
4,San Antonio Spurs,Minnesota Timberwolves,2022-03-14,24,1,112.5,112.9,0.382,0.4,2,13,1,114.6,111.6,0.565,0.8,2,0.388,0.612
1,Atlanta Hawks,Portland Trail Blazers,2022-03-14,17,0,112.8,112.1,0.493,0.6,1,23,1,107.2,113.4,0.394,0.4,0,0.724,0.276
6,Utah Jazz,Milwaukee Bucks,2022-03-14,5,1,113.9,107.5,0.627,0.6,1,7,1,114.5,110.7,0.618,0.7,2,0.511,0.489
3,Orlando Magic,Brooklyn Nets,2022-03-15,29,1,104.2,111.7,0.261,0.5,2,15,1,111.3,111.7,0.515,0.4,1,0.381,0.619
2,New Orleans Pelicans,Phoenix Suns,2022-03-15,21,1,108.2,109.9,0.412,0.5,0,1,1,114,106.1,0.794,0.6,1,0.205,0.795
1,Miami Heat,Detroit Pistons,2022-03-15,4,2,109.4,104.8,0.652,0.7,2,28,1,103.6,112.4,0.265,0.5,2,0.867,0.133
0,Indiana Pacers,Memphis Grizzlies,2022-03-15,26,1,110.7,113,0.333,0.4,1,3,1,114.4,109.5,0.681,0.6,1,0.228,0.772
3,Orlando Magic,Brooklyn Nets,2022-03-15,29,1,104.2,111.7,0.261,0.5,2,15,1,111.3,111.7,0.515,0.4,1,0.381,0.619
2,New Orleans Pelicans,Phoenix Suns,2022-03-15,21,1,108.2,109.9,0.412,0.5,0,1,1,114,106.1,0.794,0.6,1,0.205,0.795
1,Miami Heat,Detroit Pistons,2022-03-15,4,2,109.4,104.8,0.652,0.7,2,28,1,103.6,112.4,0.265,0.5,2,0.867,0.133
0,Indiana Pacers,Memphis Grizzlies,2022-03-15,26,1,110.7,113,0.333,0.4,1,3,1,114.4,109.5,0.681,0.6,1,0.228,0.772
7,New York Knicks,Portland Trail Blazers,2022-03-16,21,2,105.9,107,0.412,0.3,2,23,1,107.3,113.6,0.388,0.3,0,0.785,0.215
2,Cleveland Cavaliers,Philadelphia 76ers,2022-03-16,12,1,106.9,103.8,0.574,0.4,1,8,1,108.5,106.7,0.612,0.7,2,0.404,0.596
5,Los Angeles Clippers,Toronto Raptors,2022-03-16,16,1,107,107.8,0.507,0.6,1,14,1,108.9,107.3,0.559,0.6,2,0.421,0.579
11,Washington Wizards,Denver Nuggets,2022-03-16,19,1,108.3,111.4,0.433,0.3,1,10,1,111.1,108.5,0.594,0.7,2,0.301,0.699
4,Houston Rockets,Phoenix Suns,2022-03-16,30,2,108.9,118.2,0.25,0.2,2,1,0,114.3,106.2,0.797,0.6,1,0.227,0.773
8,Sacramento Kings,Milwaukee Bucks,2022-03-16,25,1,110.3,115.3,0.357,0.3,2,5,1,114.6,110.7,0.623,0.7,2,0.217,0.783
3,Golden State Warriors,Boston Celtics,2022-03-16,3,1,111.6,105,0.681,0.5,2,11,2,109.5,103.9,0.594,0.7,2,0.648,0.352
0,Brooklyn Nets,Dallas Mavericks,2022-03-16,15,0,111.9,111.7,0.522,0.5,2,6,2,106.6,103.5,0.618,0.8,2,0.309,0.691
9,San Antonio Spurs,Oklahoma City Thunder,2022-03-16,24,1,112.9,113.5,0.377,0.3,2,27,1,102.8,110.7,0.294,0.2,1,0.706,0.294
10,Utah Jazz,Chicago Bulls,2022-03-16,7,1,113.8,107.6,0.618,0.6,2,9,1,112.1,110.7,0.603,0.4,2,0.587,0.413
1,Charlotte Hornets,Atlanta Hawks,2022-03-16,18,1,114.9,114.9,0.493,0.5,2,17,1,112.9,112.1,0.5,0.6,1,0.634,0.366
6,Minnesota Timberwolves,Los Angeles Lakers,2022-03-16,13,1,115.1,112,0.571,0.8,1,20,1,111,113.6,0.426,0.2,1,0.694,0.306
0,Orlando Magic,Detroit Pistons,2022-03-17,29,1,104.2,112.2,0.257,0.5,2,28,1,103.5,112.3,0.261,0.4,1,0.589,0.411
5,New York Knicks,Washington Wizards,2022-03-18,21,1,106.3,106.9,0.42,0.4,2,19,1,108.4,111.6,0.426,0.2,1,0.617,0.383
2,Cleveland Cavaliers,Denver Nuggets,2022-03-18,14,1,107,104,0.565,0.4,1,9,1,111.4,108.5,0.6,0.7,2,0.399,0.601
6,Philadelphia 76ers,Dallas Mavericks,2022-03-18,8,1,108.7,106.8,0.618,0.7,2,7,1,106.7,103.7,0.623,0.8,2,0.497,0.503
10,Toronto Raptors,Los Angeles Lakers,2022-03-18,13,1,108.8,107.2,0.565,0.7,2,20,1,110.9,113.7,0.42,0.2,1,0.738,0.262
3,Houston Rockets,Indiana Pacers,2022-03-18,30,1,108.9,118.4,0.246,0.2,2,26,2,110.5,113.3,0.329,0.3,2,0.401,0.599
4,Miami Heat,Oklahoma City Thunder,2022-03-18,4,2,109.4,104.7,0.657,0.7,1,27,1,103,110.9,0.29,0.2,1,0.875,0.125
8,Sacramento Kings,Boston Celtics,2022-03-18,25,1,110.5,115.6,0.352,0.3,2,10,1,109.5,103.7,0.6,0.8,2,0.291,0.709
1,Brooklyn Nets,Portland Trail Blazers,2022-03-18,15,1,111.9,111.7,0.514,0.5,1,24,1,107.1,113.8,0.382,0.2,0,0.781,0.219
0,Atlanta Hawks,Memphis Grizzlies,2022-03-18,18,1,112.8,112.2,0.493,0.6,0,2,2,114.7,109.4,0.686,0.7,1,0.229,0.771
9,San Antonio Spurs,New Orleans Pelicans,2022-03-18,23,1,113,113.6,0.386,0.3,2,22,2,108.3,110.2,0.406,0.5,1,0.615,0.385
